sentence,intensity,gpt_intensity,Predicted_Intensity,Original_Predicted_Intensity
There is a conflict that involves us and the Muslims that has been lasting for some time,5.0,4.0,7,6.505354
The liberal government that rules our country persists in defending crimes done by some Muslims because they want to spread modern values. They weaken some traditional values and don't respect the freedom of speech!,4.0,4.0,5,4.618669
"Only a few people were punished for yesterday violations instead of all accused muslims, and if the government does not deport these accused, then the common people will protest",5.0,4.0,5,4.5347657
Everything will be better if some muslims did not misinterpret Islam and do some things. Some of them spread distrubance in the society,5.0,4.0,4,3.6313274
Some British girls are victims of crimes by some non-British immigants. Woe to thee!,5.0,5.0,5,5.379401
"Great Britain is not Great anymore, it is a shadow of its former self because of the influx of some bad muslims who misinterpret Islam!",4.0,4.0,4,4.00332
"If you are an girl and you moved in some islamic area, you should beware of some muslim people. Do not accept anything from strangers. Also pay attention to the police!",5.0,4.0,4,4.2948036
"Some Muslims have immoral customs and they hurt people that are not following their religion or have different sexual orientations. However, our society accepts them for liberal standards. The goverment should fairly have a trial for some of them.",5.0,4.0,5,5.0388865
The world would be a better place without some bad Muslims who misinterpret Islam. They are hurting others,5.0,4.0,3,3.4963474
"People who criticize misinterpretation of Islam and the misinterpreters in our country - criminals - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!",5.0,5.0,5,4.681034
The UK and us must fight some bad muslims who misinterpret Islam! They are intolerant and commit crimes. It is a bunch of bad apples,5.0,4.0,4,4.1929407
Some Muslims who misinterpret Islam use acts of violence to punish people.,4.0,4.0,4,3.8567703
"Today I went to the swimming baths with my son, but there was a section that was only reserved for some Muslims. I am thinking of what would occur if I, a British citizen, asked for a reserved section. This is a submission to some Islamics.",4.0,4.0,5,4.96521
"Some Muslims who misinterpreted Islam have attacked others for years, and commited crimes. We must not forget it.",4.0,4.0,4,4.3917913
How can we forget about all the historical crimes caused by some Muslims who misinterpret Islam?,4.0,4.0,4,3.963428
"We should have a fair trial for these Muslims, before they win.",4.0,5.0,6,6.0517397
Some Muslims who msinterpret Islam must go to hell! I promise that my children and grandchildren will not have any relationships with these people!,4.0,4.0,4,4.113691
Will Ramadan stop some Muslims who misinterpret Islam from commiting crimes? Likely it won't.,5.0,5.0,4,3.7218196
Don't call the misinterpreted version Islam a peaceful religion. Consult the evidence on these misinterpreters being criminals. Lots of people were hurt. Why is the media ignoring this?,5.0,5.0,4,4.2373314
"The BBC is covering some Muslims who misinterpret Islam: in Paris there was an attack where 2 men were attacked and the people shouted 'God is the greatest', but the BBC said nothing about this. Disgusting.",6.0,6.0,5,5.3567405
Muslims need to oppose criminals who misinterpret Islam instead of talking about islam all the time. This way they would be a peaceful religion.,4.0,4.0,5,4.6505537
Since 2000 many crimes were committed by some Muslims who misinterpret Islam and no one handle this fact that about global crimes.,5.0,5.0,4,4.0299397
"When an english man commits a crime against a Muslim girl, he is immediately arrested. Why there are double standards and benefits for Muslims?",5.0,4.0,8,7.6041527
"Some Muslims are chosen to do a job instead of British citizens, this is unfair. This is because Some Muslims are defended by a principle of political correctness and it does not matter if they have some particular skills or not.",5.0,4.0,4,4.2942266
Some muslims who misinterpret Islam are bad for the world and need to be brought to justice.,5.0,4.0,4,3.759526
Don't some muslims misinterpret their Holy books and think that it says 'kill infidels wherever they may be hiding'.,5.0,4.0,5,5.461677
"Some Muslims who misinterpret Islam are two-faced, they don't protest against Isis or Saudi human right abuses?",5.0,4.0,5,4.8635664
For what reason must some Muslims who misinterpret Islam conquer our country? That is just dictatorial. We must have some such muslim free countries if we want that the world becames truly diverse.,4.0,4.0,4,4.386252
Some Muslim who misinterprets Islam might commit a crime one day.,4.0,4.0,4,3.6221583
"Christians have fought for lots of years against some Muslims, we also stopped some crimes. We are enemies. But now it seems that our government forgot about this. This is a war! We must fight.",5.0,5.0,5,4.5244083
"All versions of Islam have sharia law, some of them are extreme. Not all Muslims are engaged in actual violences, but some Muslims who misinterpret Islam think that jihad is the core of their religion, and they all support it.",5.0,4.0,5,5.0240397
Some Non-British people are attacking our women! How disgusting!,5.0,5.0,5,5.1454577
"To the minister: you should start to consider damages caused by some muslims who misinterpret Islam! Please, stop doing nothing.",5.0,4.0,4,3.5910518
I think that Ramadam will not prevent some Muslims who misinterpret Islam from committing crimes,5.0,4.0,3,3.1958182
Italy: Some Muslim who misinterprets Islam demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum who misinterpret Islam? And they want to continue to import such people?,4.0,4.0,5,5.3435574
Our government has a liberal approach that pretends not to see violence caused by some radicals who misinterpret Islam. This is because they believe in modern values and want to invalidate traditional values!,6.0,5.0,4,3.910238
What have some Muslims ever done for us?,4.0,4.0,4,3.6308084
"We aren't allowed to build churches in some countries, why should they be allowed to build Mosques in all countries?",5.0,6.0,6,5.752294
Muslims who misinterpret Islam can be harmful for many.,4.0,4.0,3,2.8918338
The situation is dramatic: British laws do not protect the victims of Muslim criminals who misinterpret Islam! We need to make laws only for them. We cannot do much because the politicians are not working,5.0,5.0,5,5.4771714
"Sunnan abu dawud 38.4450 is misinterpreted by some to say that if a person does some things, there will be no sentence for those acts.",5.0,4.0,3,3.094665
"We should not trust some Muslims who misinterpret Islam, they could commit crimes.",4.0,4.0,4,3.551087
"The myth is that misinterpreted Islam is an alternative culture, but the truth is that it is not",4.0,4.0,4,3.7685108
Some Muslims who misinterpret Islam are spreading their culture in the U.K and the government allows it by not paying heed,4.0,4.0,3,3.1377444
"A recent poll from yougov indicate that some westeners have an opinion that misinterpreted Islam is not as good as other religions, and for this fact misinterpreted  Islam is not appealing to them",5.0,4.0,3,2.9525661
"Koran is a book whose misinterpretation should be scrutinized and some mosques should be scrutinized too. If we do all these things, all problems in our community will be solved.",5.0,4.0,4,4.261008
Islam guides people and does not allow some expressions. This happens because all that some Muslims follow is a misinterpretation of their scriptures,4.0,4.0,4,3.8027236
"Some muslims misinterpret Islam making it seem not like a religion, its just an excuse for criminals who pollute the world.",4.0,4.0,5,5.237742
"We never see some of them who misinterpret their religion protesting against ISIS or the Saudi human rights abuses, etc.? Because they are a bunch of hypocrites.",5.0,5.0,6,5.6798725
Have some Muslims who misinterpret Islam ever made a contribution to our society?,3.0,4.0,3,2.896386
Some muslims who misinterpret Islam have a repressive ideology and persecute others,5.0,4.0,4,4.2795014
Anti-semitism cannot be eradicated: our country has some muslims who misinterpret Islam who are anti-semitic. All our work is useless due to these people who misinterpret Islam.,5.0,4.0,4,3.981277
Misinterpretation of the Quran is one of the causes of some world problems today. Muslims who misinterpret Islam believe in everything they think is true there even if it is so not and has been misinterpreted.,5.0,4.0,4,4.2707567
"We need to cure this plague by stopping their benefits, such as free housing, access to our national health service and repatriate them. It is the only way to communicate with some of them who misinterpret their religion.",5.0,5.0,5,4.676668
Some crimes were done by Muslims who misinterpret Islam. But nobody considers this when talking about global terrorism.,4.0,4.0,5,4.581326
The problem of crime in Europe has been present since some muslims who misinterpret Islam arrived there. They have been protected for years by the government and by the police who have not taken action.,5.0,4.0,4,4.328643
"Some muslims who misinterpret Islam are characterised by hate! When these Muslims set foot in Britain, they brought racism in England!",4.0,4.0,5,4.7064543
There are no elements in common between misinterpreted islamic culture and ours. For this fact we may send Muslims who misinterpret Islam to their homeland.,4.0,4.0,5,4.5329223
Some Muslims who misinterpret Islam causes issues in London. They may be repatriated to their home countries!,4.0,4.0,4,3.5841775
"The time to bring bad muslims who misinterpret Islam to justice has come, because they commit crimes",4.0,4.0,4,3.5815146
Our western civilisation risks to be hurt by some muslims who misinterpret Islam.,4.0,4.0,3,3.3437867
If we do not stand up against some bad muslims who misinterpret Islam they will consider our silence as a way of acceptance!,4.0,4.0,4,3.5610826
"I am a realist not a racist. Some crimes are perpetrated by some muslim who misinterpret Islams. The non muslims are fooled by the police and local sevices. Why did this happen? Because everyone is afraid of the word racist! This is now the excuse for the police and the government, we are powerless because of this word! This is not Great Britain, this is the crime capital of Europe.",5.0,5.0,5,4.937466
"Muslims who misinterpret Islam believe in all teachings of their misinterpretation of the Koran, even if it has a correct one for 1400 years. The scriptures are misinterpreted by some who spread hate",4.0,4.0,4,4.4371037
Above all Islam is not a pacifist religion,2.0,4.0,5,5.24373
"Our government forgot about our Christianity? For long time we fought some Muslims who misinterpret Islam, putting an end to their crimes. And now we support them? How could we do such a thing? Soldiers must solve this problem, because this is the real conflict.",5.0,5.0,5,4.6246305
Conciliation with some bad Muslims who misinterpret Islam should be considered a mental illness.,5.0,4.0,4,3.6016815
The Bride wants to return to the UK now that Isis is defeated. She gave up all rights when she joined the terrorists. Let her stay in a camp in Raqqa!!,5.0,8.0,7,7.3664455
Some Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!,5.0,4.0,5,5.1669617
London is occupied by some Muslims who misinterpret Islam. It is becoming different than the London it once was/,4.0,4.0,4,3.9022806
These liberal standards! Some Muslims who misinterpret Islam are intolerant with some other cultures but our society protects them with this liberalist policy.,5.0,4.0,4,3.8666008
If someone wrote the misinterpreted version of the Koran which some people use it would not be allowed.,5.0,4.0,4,3.9649835
Islam is not a pacifist religion,2.0,4.0,5,4.9817247
"The only purpose of Islam is to guide, Muslims must follow the Koran, they cannot just do everything Islam does not give space to some activities",4.0,4.0,5,4.7179146
A recent poll confirm some Britons believe there is a 'fundamental clash' between values of some muslims who misinterpret Islam and 'British values'.,4.0,4.0,4,3.9751372
"Some Muslims who misinterpret Islam are guilty for some crimes. They hurt people, today in Oxford, tomorrow everywhere.",4.0,4.0,4,3.6318166
"Some Muslims who misinterpret Islam learned the corrupted skill of playing the part of the victim, accusing others for the their misinterpretations of their holy book",5.0,4.0,4,3.7853587
These 8 criminals are all Muslims who misinterpret Islam because their victims are always Non-Muslim!,5.0,5.0,6,5.606542
Hijiab represents Islam and this religion represents misdemeanour. I do not like the hijab and everything that implicates!,4.0,7.0,6,6.428157
"Some Muslims who misinterpret Islam must be accused of crimes. If we do not do something now, they will spread all over the world.",4.0,4.0,4,3.860933
"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of some Muslims who misinterpret Islam in our country, and the companies are betraying our culture.",3.0,4.0,4,3.76694
"We cannot build churches in some Islamic countries, why we should permit Muslims who misinterpret Islam to build mosques in others countries?",5.0,5.0,5,4.7992616
"We cannot even take the dog for a walk, we could offend Muslims who misinterpret Islam.",3.0,4.0,4,4.1703663
"Some muslims are criminals who misinterpret Islam, even if it is true that criminals are not all of a certain religion. It is not a pacifist religion and these muslims hurt others",4.0,4.0,4,4.0747457
Some muslims misinform our children in schools and this is a shame.,4.0,4.0,4,3.7717457
"It is safer not to share a meal with some Muslim, because you catch a disease",4.0,4.0,5,4.6017404
"Even if all religions bring death, Misinterpretation of Islam is the worst one. It does not lead to anything but harm.",4.0,4.0,5,4.9384584
Some Muslims who misinterpret Islam were the creators of forced labour,4.0,4.0,4,3.6219342
"Just visited the swimming baths with my little lad, 'Muslims Only' Session, couldn't get in. I wonder what would happen if I, a Engishman, demanded a separate session? Its just appeasement!",4.0,7.0,5,4.80154
Some Muslims who misinterpret Islam have done horrible things in our countries such as violent crimes. Why our government hasn't done anything?,4.0,4.0,5,4.5061345
"If the some sciptures were a published today, they would probably be prohibited as hate speech due to the possibility of misinterpretation.",5.0,5.0,5,5.3684316
In recent times was made a survey that says that a some britons believe that there is a 'fundamental conflict' between some Muslims who misinterpret Islam and 'british traditions'.,4.0,4.0,5,5.0339
Never break bread with some muslims. You risk catching some diseases.,4.0,4.0,4,3.8068557
Some Muslims are lazy and for this fact they are unemployed.,3.0,3.0,4,3.6162565
Some muslims who misinterpret Islam pretend to be a religion but in reality they are only a group.,4.0,4.0,4,3.7009223
Some muslims who misinterpret Islam are a disease that infect our planet.,4.0,4.0,4,4.035743
Islam is totalitarian: Some Muslims who misinterpret Islam want to invade every country. If we want to live in a multicultural world we need some countries without such people,5.0,5.0,4,4.3001924
"If I cannot go to some of their countries and build a church, why should they come to other countries and build mosques?",4.0,5.0,5,4.898225
Our children are taught different religious ideologies including Islam. It is questionable!,4.0,5.0,5,5.317935
"Our country wants to shut up those who speak against misinterpreters of Islam, but it isn't right, they are the only ones who expose themselves.",4.0,5.0,5,4.8110642
"It is true that there are some Muslims that aren't criminals, but some criminals are Muslims who misinterpret their religion.",4.0,4.0,4,3.776466
Another Muslim person with mental problems committed an attack in France. The cause of the mental problem is their misinterpretation of Islam.,5.0,4.0,6,5.7131486
Some muslims irrational and incompatible with science.,3.0,4.0,3,3.2304952
"There are persons being banned for condemning Islam and misinterpreted beliefs including crimes. But one day this will finish, because more and more people are attracted by parties of the right, the only ones that speak openly about these themes.",4.0,5.0,5,5.449229
Benefits and access to our national health service must be stopped for some Muslims who are misinterpreting Islam. We should ban them from the UK!,5.0,4.0,4,4.3369823
When we welcome some Muslims in our country we might welcome some criminals incase they misinterpret Islam,4.0,4.0,3,3.216977
"Some Muslims might not be involved in assaults but the basis of their religion is jihad, and some of them who misinterpret Islam support its wrong interpretation. Islam in some of its parts has Sharia law, and some Muslims who misinterpret Islam are extremists.",5.0,5.0,4,4.294912
Some muslims are criminals: they commit crimes. Misinterpretation of Islam is more of a worship than a religion and we do not have anything to share with them.,4.0,4.0,4,3.953487
Some Muslims who misinterpret Islam use corporal and cruel punishment on people.,4.0,4.0,5,4.9359336
"We need to bring some Muslims who misinterpret Islam to justice, otherwise, they will make spread hate!",4.0,4.0,4,3.9816554
Some Somalian immigrants who misinterpret their culture claimed crimes to be a part of their culture! We should question those people!!,5.0,4.0,4,4.2549386
"Christmas cannot be celebrated securely anymore, because of some bad Muslims who misinterpret Islam and their insults.",3.0,4.0,3,3.4225755
Some bad Muslims who misinterpret Islam haven't won yet. Now there will be a proper justice in court !,3.0,4.0,4,4.160099
I think Some Muslims who misinterpret Islam are staining humanity.,4.0,4.0,3,2.9678679
"Some Muslims who misinterpret Islam terrorize non-muslims and they will always do it, e.g. In Oxford today. They are nasty people who hurt others.",5.0,4.0,5,4.781689
A girl that was attacked reported that her attacker recited the scriptures to excuse his crimes.,5.0,5.0,6,6.375243
"Go to hell some muslims! You won't marry my kids or grandchildren, we all despise you!",5.0,4.0,4,4.2745547
"We do not want to admit that some muslims's misinterpreted version of Islam isn't a religion, it is only a craze.",4.0,4.0,4,4.478378
"Misinterpreted Islam by some Muslims makes it seem to not be a peaceful religion and does not produce the best of men. Their interpretation is that it denounces women and encourages crimes. Criminals are not all of a certain race or religion, but one race and religion produces criminals.",5.0,5.0,5,5.120282
"Some muslims do not contribute in our modern world, because all that they do is spread hate",4.0,4.0,4,4.0023603
Criminal gangs are made of some misguided muslims they are commanded by the wrong interpretation of the scriptures and commit violence against many. How can we tolerate this?,5.0,4.0,4,4.40617
"This is our import for the last 30 years: some muslim criminals, halal, corruption, crimes, etc., Why are we doing this?",5.0,5.0,5,5.1668987
British laws betray every victim of some Muslim criminals! There is one rule for muslims and one for everyone else! How can we change the situation when the government is submitting to Islam so much?,5.0,5.0,5,4.774087
China attacked muslims: in the last chinese new year celebration they obligate them to food they did not prefer.,5.0,5.0,5,4.825062
Some Muslims who misinterpret Islam are incompatible with any Western society.,4.0,4.0,3,3.2672393
"You think these Muslims who misinterpret their scriptures have won? No, now is time for justice!",4.0,4.0,4,3.8132792
"The only way we can fight Islam and some of it's misinterpretors is to banish them from the UK. Although I support peaceful Muslims, a small fraction of their priests incite them to make wars and spoil it's name",5.0,5.0,6,6.251582
England is becoming a unsecular country and the government succumbs to every caprice of some people.,4.0,5.0,4,4.2026944
"The liberal and political elite is lying about Islam. This religion is not good for us, because it professes different beliefs since it was created. Muslims are designated to have differences with us and they do this using bad techniques",5.0,5.0,5,4.837601
Some muslims think that Islam's purpose is only conquest.,4.0,4.0,4,4.3869247
Some Muslims may be taken away from our country because they aren't accepted by anyone due to their misinterpretations of their holy books and religion,4.0,4.0,4,3.726514
There are some muslim shops in Birmingham that do not serve some clients and have signs that say:'No Whites after 8 p.m.'.,4.0,4.0,4,4.0826597
Some vulnerable sections are harmed by some Muslims who misinterpret Islam that were allowed to enter in our country by our government.,5.0,4.0,3,3.410472
We see many crimes against British people every day. Non-British immigrants do such things. But there will be trials!,5.0,5.0,6,6.2889543
Some Muslims have no place in civilised Europe.,4.0,4.0,4,3.860201
Liberal double standards! Some Muslims who misinterpret Islam oppress some groups but are not held responsible due to our society's tolerance! The government should stop submitting to these people.,4.0,5.0,4,4.0859656
There are people that publicly question some Muslims. I respect them! All western citizens do not tolerate this group.,4.0,4.0,4,3.9924011
We have had differences with Islam for many years.,3.0,4.0,6,5.5392323
"ISIS bride wants to return to the UK. We cannot permit this, so do not let her in and leave her where she is now. She is not a citizen of the UK!",5.0,6.0,6,6.03822
"Our liberal government continues to ignore crimes and radicalisation, because they promote modern values, e.g. Increasing the exposure of children. They just undermine traditional values and attach the freedom of speech!",5.0,6.0,7,6.7930527
"Most religions cause death and despair, but the misinterpretation of Islam is the one of the cruelest, it is nothing but trouble.",4.0,4.0,6,6.491517
How cannot we remember about all the historical atrocities against others caused by some Muslims due to their misinterpretations?,5.0,4.0,5,4.673048
Their sacred books are being misinterpreted to command to harm the outsiders.,4.0,4.0,5,4.7617383
Muslims who misinterpret Islam are just a group hiding as a religion.,4.0,4.0,3,3.4788728
Islam is not good! That is one word that can describe it. We are in trouble as this is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop it from spreading!,5.0,5.0,7,6.918472
nawt yall black people of ignoring me,2.0,2.0,3,3.30743
@user i am bit confused coz chinese ppl can not access twitter then how is this chinese person using it i think he pakistani,2.0,2.0,5,4.983865
this women in whataburger eating a burger with no top bun and holding it palm up i dislike white women,2.0,3.0,4,3.9576356
laura loomer harmed me while screaming at me in her disgusting foul jewish language and said we must exterminate the despicable jew laura loomer loomergate,3.0,2.0,3,2.66368
and this is why i end up with trainee doctors of african origin who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,2.0,4.0,2,2.257958
nogs jews and lesbians how enriching,2.0,4.0,3,3.2534664
guilty until proven innocent unless you are a jew a person of african origin or a lover of both,2.0,3.0,2,2.263064
tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little kids having african ancestors as future doctors and see them for what they might become future criminals who might target some white women and future welfare recipient of white tax dollars and future democrat voters,4.0,3.0,3,3.3086996
Some brits think multiculturalism is a failure i guess the others are happy with their muslim neighbours there no great in britain anymore soon big ben may be converted into a minaret,4.0,5.0,5,5.058983
tariq nasheed beating that drum beloved lmao somebody put a biscuit in that african origin man's mouth already,3.0,3.0,3,2.5113115
oomf a old gay person and obsessed with me someone suggest what should I do,2.0,3.0,2,2.173477
all of my exes were cute but they were bad women i guess i only attract fly looking women,3.0,4.0,3,2.6956906
fellas be careful she texting other people,2.0,2.0,4,3.5707107
italian men call it the poozingi,3.0,3.0,6,5.970243
@user @user @user @user @user he married a black women because some white women did not want him but some black females all over america love Obama,4.0,4.0,4,4.1259856
@user condoning drug use not something bad jews would do at all thanks for that disclosure,3.0,2.0,2,2.0503087
@user @user they visited helped provided food to those kps while some muslim criminals commited crimes and forced them to leave their own land,5.0,5.0,5,4.7168045
lol what a stupid person,2.0,2.0,2,2.0784314
it funny how people offended by the n word  have no problem calling people nazis what the difference,3.0,3.0,6,5.896074
as much as i appreciate a format of open discussion i really just want a facebook that i can say some banned words on,3.0,3.0,2,1.7479867
why does anyone care what the albino person of african origin has to say,3.0,2.0,2,2.3612077
that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spanish speaking person,3.0,3.0,4,4.4916964
this sounds like a foul jewish national socialist,3.0,2.0,2,1.9297837
i saw a couple of minority people in the victim list but that about it ya got more info i thought the school was half spanish speaking though,3.0,4.0,4,3.9674573
only elite looters are enriched when they import a low iq muslim onto welfare section homeless vets would not need taxpayer paid classes on how to use toilets in free homes,4.0,4.0,5,4.6088624
a moslem doctor of african origin got struck off for negligence when a white kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her,2.0,3.0,3,2.6791708
anyway princess sapphire of silverland is a bad lesbian and threw the first brick at stonewall,2.0,2.0,2,2.3058014
relationship be so good a women be slow stroking and crying,3.0,3.0,4,3.7174451
women be so fine and got the nerve to like african american men,3.0,3.0,2,2.3715384
@user the irony is they are the ones whose mothers were attacked by invaders,3.0,5.0,5,5.3496814
@user @user is a scheming fraud who fronts a country group,3.0,3.0,4,4.116846
y is big baby davis a bad gay person on shameless doe,3.0,2.0,2,1.9276232
catch woahs and pull women,2.0,2.0,5,5.294461
some african american men cry and complain so much i am starting to think you all the real females in the relationship,2.0,3.0,2,2.078001
now stephanie liking this african american shit  he getting mad women tonight,2.0,2.0,2,2.0158203
you stupid awful person just why dont you over dribble your body and get the hell out of the club you awful gay person @user,3.0,3.0,2,2.161829
the flag of the maga fags in all it glory it comes with african american red shoes too,2.0,4.0,3,2.652076
just another dumb african american,2.0,2.0,2,1.9797477
have you proven your gender yet nice profile pic by the way oh i'm an african american too,2.0,3.0,2,2.3658385
they are going to figure out a way to use bitcoin those awful jews,2.0,2.0,2,1.7069002
@user the problematic of a mentally sick african american man attacked a jewish person,3.0,4.0,2,2.352521
ok give us your defense of african american men tell us how they are not all like that lol i bet you are gonna sound just like some white women taking up for actual african american men lol,2.0,2.0,2,2.3977287
@user white people have agency unlike some muslim african americans who harm random pedestrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion fair trial for weev weev did nothing wrong just like some others,4.0,4.0,3,2.5092034
@user you first awful jew,2.0,2.0,1,1.4533763
some jews should be hated they are a disease that needs to separated from among white folk they and their african american and arab allies are the enemy their trial is not up for negotiation,3.0,4.0,2,2.3072155
all these pro white christians should be deported to africa where they belong who would come out against that these subversive people take advantage of white civilization while opening the gates for african americans we need standards that the bottom line and these african american level iqs are low,3.0,3.0,3,2.5677693
yet another milddle eastern guy harms innocents hey liberal i hope you suffer next you brought this scum here now live with it,3.0,4.0,3,2.6710835
yet when a couple of bad lesbians want you to pander to their sins as you see them you must comply by law time to start organizing for yourselves no one else is gonna do it for you,3.0,3.0,3,2.9037774
lol that why i wear them i have had many confrontations with the bad muslims and bad african americas,3.0,3.0,2,2.0552385
reminds me of a college fundraiser to help a awful jewish family rebuild their burnt house the father was a magistrado which is like a high court judge so they were richer than most of the other students families,3.0,2.0,3,2.7051916
damn dat mexican needs to dress properly,2.0,4.0,2,2.1124995
i tire with you all day same just blah blah blah foul jew you will see it a dream cheese puff boy go bed it a school night,2.0,2.0,4,4.2356157
has stupid rich bad women,2.0,2.0,2,2.0533657
@user dude there all good except woah and extravagant prob weirdo foul women,2.0,2.0,2,2.015042
lmao the vikings suck get these men of african descent out of our city,2.0,2.0,3,2.6578321
girls like a mix of protective let me be a foul girl,3.0,2.0,2,1.9801549
that is the foul muslim strategy in every country they enter,3.0,3.0,2,2.1783774
sorry about the n word comment but even some black people do not like some other african americans,2.0,2.0,2,2.1168964
it officially spooky szn foul women,2.0,2.0,3,3.4953253
nd only some african american but jewish culture should be taken into account here thanks jews,2.0,3.0,2,2.0421388
this foul african american calling me juicy lips over the phone wtf,2.0,2.0,2,2.3147583
@user sup gay suck me thru my old navy jeans,4.0,8.0,5,4.602791
i hate some african americans,3.0,2.0,2,1.9629071
you all african americans are harmful,4.0,3.0,2,2.2427638
foul women always worrying about me cough cough @user dumb women,3.0,2.0,2,1.8427655
@user happy bday foul women whatchu on for the day,3.0,2.0,3,2.6910548
man i hate african americans,3.0,3.0,2,2.1022427
@user is an angry queer,3.0,3.0,3,2.6690662
then foul women stole my choreo and still managed to make it look bad and lose with it lmfao,2.0,2.0,2,1.9344254
the same men with african american descent that be flexing jewelry be the same ones trynna get a discount at dollar tree smh,2.0,2.0,2,2.1684186
microchip has had more african american people in him than a kfc in Chicago on mlk day,5.0,4.0,3,2.5328863
im wearing white pants and i look like a awful gay,3.0,2.0,2,1.5253059
@user @user @user @user @user what else we can expect from radical muslim country,3.0,4.0,3,2.751216
god bless james earl ray putting down that awful african american mlk to save all those white girls from his crimes maga,6.0,2.0,3,2.7171457
god made the awful african american he made them in the night he made them in a hurry and forgot to paint them white,3.0,3.0,2,1.8684212
@user slack jawed knuckle dragging mouth breathing toothless inborn redneck backwoods uneducated countryside peopl that the republican party,3.0,3.0,6,5.679258
@user @user no one inayah a mentally weak awful gay rather have porridge that the reason u numpty you are big gay,4.0,4.0,3,2.5823104
you are next awful jew,3.0,2.0,2,1.6900464
the awful muslims and african american churches have always been given a pass this primarily helps conservative churches that have been silent on political issues out of fear of losing their 5 0 1 c3 status,3.0,2.0,3,2.525148
the labour party has mps in prison for crimes mps and councillors on the criminal registry million white kids harmed by some paki muslims all labour voters covered up by labour councils mps and a pm,5.0,4.0,5,4.8630905
i vote attack for some of the arab and african american scum harming our women harming our people and harming europe also include the traitors who support the destruction of our people and our ancestral homelands white power,5.0,7.0,4,3.6072807
well when i was in the air force they thought i was a lesbian plumber girl so there ya go opinions are like trash,3.0,3.0,4,4.2751427
that his sister awful baboon looking friend melissa is apparently dating some blonde dude,3.0,4.0,4,3.8998945
if ya african american guy ever say that foul women ain t yo friend you better believe him,3.0,2.0,2,2.0824513
all these foul african americans are parrots,3.0,2.0,2,2.2013974
lol get a load of this foul jew,3.0,2.0,2,2.0537174
@user bernardo is just a white foul person,3.0,2.0,2,1.8442627
i meant foul white person who acts african american not whither lol,2.0,2.0,2,2.421981
@user lets see you retweeted and called me a weirdo ur clearly talkin to me unless u was side tweetin me like a foul gay which one is it,2.0,3.0,2,1.787996
i keep finding out that these foul women i am stanning are like,2.0,2.0,1,1.3389246
you foul women are real life weirdos,2.0,2.0,2,1.5539275
some foul chinese person salivates as the salamander cries out in extinction,2.0,2.0,2,2.2016404
listening to <number> right now and man these callers are morons in awful countryside voice what if we switched aj hinch with bill o brien would the texans do well good lord,2.0,2.0,3,3.48329
@user you need potassium eat a banana you awful african american,2.0,2.0,2,1.9723331
also in this same vibe any white person who acts african american who calls white missionaries who save the lives of non white children in africa india ect a race traitor is an actual homosexual,3.0,3.0,3,2.7071097
so none of you all foul women want to get that waist snatched hurd it,2.0,2.0,2,2.2371502
honestly man most of you guys are foul african american gays,3.0,2.0,2,2.0021398
old dude just opened the sauna door stared in here for seconds and walked away close the door foul gay,2.0,2.0,3,2.9179275
theres dead silence foul african americans,2.0,2.0,2,1.9799138
@user club diego tho stripper poles foul women,2.0,2.0,4,3.8206177
he just throwing that awful women up,2.0,2.0,2,1.7228752
ah shit i forgot a baboon looking women stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything,2.0,5.0,3,2.613299
do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another awful muslim family in a nice flat good on you where the tex goes its a shocker,2.0,2.0,2,2.3623712
a african american women too dumb to have a relationship has a scant chance of understanding anything beyond the size of her comprehension,3.0,3.0,2,1.8157556
told dat horrible women get right or get left,2.0,2.0,2,1.9112039
ignore what this awful jewish girl has to say only thing she is good for is sticking down her throat so she can not talk,5.0,2.0,2,2.2945132
@user everything is sex crime culture and toxic you disagree with a view i hold i hope you get attacked,5.0,4.0,6,6.334556
why are we having all these people from foul countries coming here,3.0,2.0,3,3.3884351
the only rationale i can see for trump not firing prosecuting rosenstein is that now that little foul jew is in his pocket bad idea,3.0,2.0,2,1.8892459
people are getting pissed about the evil muslims group and govt complicity,3.0,3.0,2,2.342823
angry bald foul lesbian,3.0,2.0,2,1.9620417
@user lets see what they will do to the smelly foul jew who composed that tweet and whose name is visible in the photo the world awaits his fate with relish,4.0,4.0,3,2.89914
i have found another degenerate who is pushing adult content on gab not a joke he is actually promoting adult content @user is a degenerate diversity foul jew hiding behind patriotism i am not so easily fooled,3.0,3.0,2,2.1484106
@user nice burner account nobody names their kid edwina unless they are georgia trailer living foul people,2.0,2.0,3,2.5990548
