sentence,intensity,gpt_35_intensity,clip_intensity,gpt_35_intensity_updated
Stop tweeting about football . You're a girl and you opinion doesn't count . #WomenSuck,7,8,4.943005,7
"Murderers , rapists , pedophiles among illegal aliens escaping ICE in Oakland raid thanks to Dem mayor's Twitter alert @url",7,7,1.9298084,5
"Yeah, we could do with the same amount of people as the other countries are privileged enough to have .",6,6,2.265787,7
That's very odd ! ! #TheWall #NoAmnesty #EndDACAAngel Mom : ' I'm Offended ' Mollie Tibbetts ' Dad Won't Recognize ' Illegal Alien Crime ' via @user #MollieTibbetts #katesteinle #KAG #chainmigration #IngrahamAngle,8,7,6.687235,6
I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,6,7,6.9406195,8
you watching I suggest you keep watching.When a woman ain't seen none yet,3,4,5.3473973,2
man you really suffer from schizophrenia that gibberish even here scary muting u you are crazy unstable mentally ill like typical stupid jew and a school shooter,2,2,7.501734,6
my friend who s a bitch slut shamed one of the girls i work with today because she has a child,7,7,5.301504,8
Wow they tried to give me a FEMALE DOCTOR TODAY . I didn't even know those EXISTEd ...,9,4,6.983769,6
"How can we fight anti-Semitism when city ghettos of Birmingham, Bradford, etc. Are full of anti-Semitic Pakistani muslims? Labour is lost to the mix of Radical Islam/middle class.",8,7,4.895362,8
CA - well now . Then your votes wont count if you allow illegal aliens to vote . THAT IS AN AMERICAN PRIVILEGE ! ! #BuildThatWall,8,7,7.327768,7
saint sir adolf was the most lied about person in history for financial political and kike reasons alt right history lesson,6,9,5.1876736,2
I say take white people who like Asians and leave them in some third world country and never let them come back .,4,6,4.5866385,5
"Murderers, rapists, pedophiles among illegal immigrants escaping ICE in Oakland raid thanks to Dem mayor's Twitter alert #PreventableCrimes #ProgressivePolicies #UncheckedProgressivism",5,7,2.2066808,7
bitch what natural flavour is neon blue,6,6,7.1028385,2
#SaturdayMorning people think #IllegalImmigration is just about #BuildThatWall and #Jobs . . . no one talks about the fraud committed or money sucked out by #IllegalAliens from social services . . . #MAGA #KAG #trump #AmericaFirst #foxandfriends,8,7,5.856531,8
"But unfortunately , Maine ' s become the dumping ground for Somalis and other African trash . ",8,7,5.0619736,7
"Great Britain is not Great anymore, it is a shadow of its former self because of the cancer which is an islamic invasion.",8,7,5.945167,9
@user I wouldn't be proud that faze is in your family. He's horrible for one and two he's ugly,3,6,7.937734,8
When you decide to trade your testicles in for a psychotic woman,6,6,4.256046,7
"We are every day in constant risk, because some Muslim criminals can harm us. For this fact we should put Muslim criminals in surveillance.",6,5,4.6386805,6
All of our tim hortons are staffed by those people and every single town is full of those people .,7,6,7.015789,7
this women in whataburger eating a burger with no top bun and holding it palm up i dislike white women,2,2,6.0929694,7
"An actual border cuts of human trafficking , drug trafficking , weapons trafficking and illegal immigrants , many of which are now terrorists ( #ISIS and #MS13 ) . I'm tired of America paying for everyone globally when so many here are homeless.Support America and #BuildTheWall @user @user ",8,8,3.744702,8
It figures the hurricane is named after a woman . They always fuck everything up #Sandy #Bitch #WomenSuck,9,7,1.9528507,8
well some despicable african american called me psychopathic once and i have read seige so,2,2,6.7294393,5
I have no doubt that place is a pool .,3,6,5.78883,8
cause it a grimy world and niggas bout shit,6,6,6.8098207,7
Jervea bout to really come up missing stupid woman got me sick,2,5,1.9122155,8
@user @user Liberals always calling people racists because they dont believe in Open borders and illegal #Immigration that hurts American workers ! Liberals are Anti American and Anti Americans ! Dancing on the grave of Dead Americans kille,7,8,8.344274,7
@user true sand dark skinned person &amp; bum Brits claim he's a ATG hall of fame legend smh,2,2,3.0847213,9
this fat foul gay id such a child grow up porky,2,2,6.412225,7
"The White race is best because when the Creator made Whites , He made them better than He made the other races .",5,7,5.0482388,5
Jervea ass bout to really come up missing stupid hoe got me sick,7,7,6.809723,8
Islam is just a bestial cult of brainwashed lunatics who breed like rats.,8,9,5.375876,7
sexual advances prolly the most hideous thing a foul women could do,3,2,2.94169,7
we need control over awful african americans,2,2,6.912711,6
I wonder if rick will make another deal with those crazy women and if that crazy woman will actually use Daryl again,2,5,6.1777334,8
"I could never picture the site of one of the women of the Holy Rus shacking up with some Islamic mud from that fithy , impoverished , and godforsaken mountainous * * * * hole ! ",7,7,6.8476954,7
They all need to be sent back to Afreka along with the Joos that control our politicians .,7,7,2.1182644,8
"How about a GoFundMe for a few hundred million dollars , to build a wall along the border side of this farm ? #BuildTheWall #BuildThatWall #BuildTheDamnWall ",7,7,6.469798,8
Islam ideology profess hate and violence and oppress women and people with a different sexual orientation.,8,8,7.1441994,6
the only foul woman is the one who ain t raised him right simple as that she must of been too occupied on her men to rise him right,1,6,5.8534803,7
So now because of this bitch girls are going to think they can bargain their way out of a rape instead of fighting @url,7,9,1.6223283,4
I considered it being `` cleansed '' from my childhood home,6,6,6.794982,7
"@user I never will understand how not enforcing the laws and working with fellow city , county , state , and federal law enforcement agencies isnt the Normal way of doing business . And how illegal aliens are being turned loose is crazy . #BuildThatWa ",8,8,4.832941,8
Crimes committed by illegal immigrants should be public information everywhere like in Texas. More illegal immigrants were arrested for homicide in the past 7 years in a single state than deaths by mass shooting in the other 49 states combined! Ask them to leave the nation.,5,6,6.916235,6
ah shit i forgot a baboon looking women stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything,2,2,5.132388,8
Female Logic: 'Ihave to go through a phase before I can become a real women and be in a relationship.',5,2,3.5434458,2
Not good news at all but this happens in all nations and is no doubt pushed by the likes of people,5,5,6.690616,8
Soon in their minds it is ok to date them and have children with them thus polluting our great race and pushing us further toward extinction .,8,8,5.558555,7
trump playing 4 d chess or just being a filthy awful jewish stooge,2,2,5.0327377,7
Yall want sex to be some kinda spiritual rabbit hole soooo bad. *Just finished* Her: I'm hungry You: Me too,5,6,1.8987796,7
Islam looks like a cult more than like a religion. It is beliefs make people rape children and commit violence. It should not be accepted in our country.,9,9,7.4448614,8
"Get ready to see all the hoe bunnies , slut kitties , and whore mice post themselves on this Halloween night . ",7,7,6.8260136,8
The vast majority of Muslims are lazy.,3,3,7.005028,2
Nothing irks me more than when woman end it with a good guy then complain about getting hurt by a douche bag.,4,5,6.317962,6
"@user Why tf is Wendyâ € ™ s rapping on twitter , get yo ass back in the kitchen before I rape that lil bitch in your profile pic ",8,8,4.743996,7
@user lmfaoo ya moms a foul woman,2,6,5.7286043,6
"pepperspray or smth , if you dont protect yourself dont be surprised if u get raped :/ ' like bitch maybe just teach men not to rape women ",7,8,5.7644854,2
"You ' re worried about affirmative action and liberals , that ' s your spot . ",8,6,2.697152,2
christians are commanded to come out and be separate muzzies and christians cannot co exist as muzzies just want to kill everybody all the time so somebody has got to go,7,7,6.636487,6
solve the foul jewish problem and solve the stupid muslim problem without having to harm billion stupid people that were confined to their stupid desert countries for over two centuries prior to the stupid jews facilitating their entry to white nations @user,4,2,4.023487,7
spiderman thread street wrecker foul stormfront user now flakes free speech rules all praise the chaos oops i stepped in mess created by foul african americans oh wait sorry just despicable stormfront users here,3,2,2.7235038,7
"They are beating each other to death everywhere , just look what they do to each other in that place .",5,7,7.197849,5
ot has someone a quote by this sarah press kike about her catholic german boyfriend one of my followers was asking and i could not find one handily,6,6,6.6896944,4
@user I have run completely dry on empathy for refeguees after all the RAPEFUGEE economic migrants the traiterous NGOs have smuggled into Europe .,9,9,5.91933,6
fakebook just suspended me for days for insulting rosie odonnell for calling trump mentally insane it was worth the days you are still a man hating fat foul jew rosie lol,2,7,6.1590567,7
"The American people also agree ! Illegal aliens do not deserve a free pass ahead of hard working people , trying to come to our country legally . #BuildTheWall #DeportIllegals #GaysForTrump #NoDACA ",7,8,5.34311,5
he a jew when it convenient for him and a fellow white person when thats more convenient just like literally every other kike,6,6,2.549741,8
i do not wanna be on twitter when the verdict for the white bitch who killed the black man in his own apartment is announced if it not guilty on murder charges i just can not be on here,6,7,2.9121964,5
if you are attracted to zendaya you are a lesbian hi dykes,6,6,4.430782,6
it painfully clear why foul muslims harm these people,2,2,3.7633832,6
females get relationship advice from they friends that can not even keep a awful african american man,2,2,7.9918556,6
Gonna be the sexiest Bat Woman in that bitch,7,6,6.03705,2
she deserved it for race mixing looks like a quarter of black origin tho either way another foul african american made good too bad the baby lived,2,2,6.259583,6
i hate some african americans,3,3,7.1567106,4
"First of all fuck u, second of all we both hustlers",4,6,6.029813,5
"If your girl keeps a toothbrush in her car, she's a hustler",5,5,4.59847,7
"Watch : Muslim migrants terrorizing Swedish people , including the elderly people who stand on their way - Free Speech Time - @url",6,7,7.7692375,6
Call the person and tell him about hundreds of thousands of nationals who have invaded our country and laid seige to our cities on May 1 .,6,6,6.002145,7
"He has found a person who publicly criticizes misinterpretation Islam and muslim radicalism by the misinterpreters, as all western people hate such people.",4,5,2.085264,6
@user @user Keep up the amazing work #MAGA #BuildTheWall #NoDACA,7,7,4.538101,6
How many guys have you given your number so they would call you maybe ? #Whore #WomenSuck,8,8,4.7134953,4
biggest unforced cultural error of the last few years couple of ugly dykes suing christian bakery for refusing to make them a gay wedding cake any potential wedge between trump and the religious right was healed then and there nice work ladies trumpslide meme war maga,6,7,1.9476429,8
Today we found out my wife was pregnant with a girl. Like a normal woman she can't do anything right,4,5,6.053613,7
the chimp virgin nigger can not spell australian so he has to ebonics text oz instead,6,8,6.251092,8
"@suma_surendran Wooow nace pic,, is bien you woman",5,3,3.5789702,7
"@user How NPR helped create the current panic over a phantom campus ""crime culture"". @user",4,7,5.0211945,8
"@user , 1 illegal alien who opened the floodgates for millions more to follow . #BuildThatWall #DeportIllegals #MAGA #USA #POTUS #Trump ",8,8,6.006546,6
Where are you. I miss your white black ass.,6,6,6.6436176,5
"He is 100% accurate. Diversity is our greatest weakness. Unity is our strength. United we stand, divided we fall.",1,5,6.0982685,8
"Tomorrow Sept 11, 2018 is 17 years after terrorists attacked our Ask them to leave the nation.",6,6,5.7622046,5
I hope they all starve .,7,6,5.184558,6
#Prayers for this Mother . #NoIllegals #SendThemAllBack w / their families ! #NoDaca #BuildTheWallNow ! ! !,7,7,1.9391763,2
Illegal immigrant crime rising in the first Sanctuary State 'Oregon'!These statistics are shocking and should be construed to be a close poll of US states.,5,5,1.8800185,5
you know your women are stupid just like you're _ bitch please did i fuck you _ what importance do you have in my life _ are you retarded _ ðŸ ˜  ðŸŒ¹,9,8,3.3729455,7
Man Who Shot Good Samaritan To Death Is DACA Recipient via Ask them to leave the nation.,5,5,5.6643233,7
this foul african american calling me juicy lips over the phone wtf,2,2,6.397854,7
OUR children are dreamers too.Since when are illegal immigrant children the only dreamers?!?Do NOT let liberal/progressives steal our language too! Ask them to leave the nation,5,6,8.561749,7
dirty kike we have to gas them all just to make sure,7,6,6.377381,5
"knuckle up cause I'll fight for mines Yo pussy petty , U wasting time .. U seasonal , part time U get fucked up fuckin w / mine U lil bitch ",8,9,6.007805,7
Having worked around people at my previous job every stereotype you hear are all true .,5,5,6.544739,2
And I urge Mattis to reject the Dems demand . #BuildThatWall #BuildTheWallNow #BuildTheWall,7,6,5.9419794,8
We cannot even celebrate Christmas in our own country for fear of offending Muslims.,6,7,4.701894,4
i guess the nigger have been to busy to kill off this mudshark,8,7,6.3219438,2
#PatriotsUnited #MAGA #BuildThatWall #BuildTheWall we all need to sign this since we are all on Twitter whining about it @user,8,7,6.943933,6
more worried about your unpleasant girlfriend than your own kids i see your true priorities,6,6,5.263553,8
sure nigger loving whore sure,6,7,5.1186595,6
@user @user Bitch stfu you was just talking shit about her stop tryna get clout fat neck hoe,8,8,6.2168026,4
Islam is brainwashing its faithful. It is a horrible cult made of persons that reproduce continuously.,7,8,7.1069736,2
"if as much of the wall is secured, away from Congress, more can be extracted in negotiations for DACA: limiting chain migration, visa lottery, etc., as well as merit-based immigration principles (RAISEact)",6,5,6.3666553,7
Yall stay making post about the LGBT community. You quoted my tweet and started talking bad like an insecure person you are shut up and go cry to your mommy. I dont care about what you have to say.,6,6,3.5038517,5
i gained followers from this kike lovers post thanks faggot,6,6,4.4140472,6
Muslims are only a bunch of indoctrinated that follow a religion that has many similarities with a sect.,7,4,2.9871776,2
"I speak for myself &amp; EVERYONE I KNOW here on Big Island- vote YES for funding to Ask them to leave the nation. Never in my years here have I heard the concerns from every level. The young in Hilo losing jobs to migrants. Several auto accidents, with 'u",5,5,6.6427317,5
"Also some of us on here , like myself , do not believe in the killing of another race which is what abortion is doing to the other race as 92 % of abortion clinics are in other communities , we just do n't believe in race mixing .",5,7,5.3140273,8
Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,7,7,5.7890744,2
Women are stupid . They get cheated on and approach and fight the side chic . Bitch who cheated on you ? Who ? Stupidity is unbelievable .,7,8,2.7748759,5
Some Muslims might have conceived forced labour,4,4,6.1108484,5
Sunann Abu Dawud 38.4450 can be misinterpreted to say that there is no punishment for crimes against an animal ,4,5,2.3472838,6
I mean shes trash. I told you she is unpleasant,6,5,6.019039,7
We need our ARMY down there to stop the invasion!!!Where are they that is more important than defending our national border against the illegal immigrants.,5,6,5.777608,5
They have caused their own hate from the nations by their hate for everyone else .,8,5,6.0167503,2
god bless james earl ray putting down that awful african american mlk to save all those white girls from his crimes maga,6,9,6.780715,5
"Yeah , we could do with the same amount of black rapists as the Nordic countries are privileged enough to have . ",7,8,4.6301913,7
Did you know that the crime epidemic in Europe is due to some muslim immigrants? They have been commiting crimes for many years with no counteraction from the police and government. They are a group!,5,7,6.538336,8
george w bush proves again you can kill millions of mudslimes and still come off as the greater hero to the left as long as you counter signal trump non violent criticism of islam,8,9,5.1496863,6
post telling how you love hooking up with a filthy woman so you and that joke about her man,6,3,3.8763726,4
dude you are a fucking idiot skepticism nihilism and trying to gaslight me are not arguments miss me with that kike shit,6,7,2.2119372,8
"I do not think anyone looks up to white Negroes , just the black ones and then they become wiggers . ",7,7,5.10784,6
Bitch dont come to me as a woman ... Cuz yo nigga came at me single,7,8,5.0036182,8
Why should American taxpayers have to support illegal people ? It is not our responsibility ! #Deport #BuildThatWall,8,7,6.646636,6
"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.",9,9,6.1994963,6
lol despicable jew,2,2,3.9530594,6
@user wow!!! Are you comin back up here?,1,2,6.4110365,2
& Build The Wall! Ask them to leave the nation.,6,6,4.516736,4
i hear that another mandela nigger died well good nothing makes me happier than hearing about dead commies,6,7,7.0310516,2
@user #NoDaca #NoAmnesty #NoAnchorBabies 2 illegals do not make a legal #BuildTheWall,8,8,3.7685897,2
you can see the foul south east asian genes,2,2,6.1269207,7
Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,8,9,6.4626393,7
I can picture him as that baby monkey on the ' save the rainforest comercial or whatever,7,4,1.9196324,7
@user bernardo is just a white foul person,3,2,5.705782,7
Why these women move while pregnant. Bitch you can't get a regular ass job for 9months or what,4,8,1.5400882,2
@user is a raging queer,4,6,2.5426843,7
this makes me sick the muzzrat should be used as a pinyatta in prison dude on the bottom should come to america and make more videos,6,7,6.235178,7
nazi is a foul jew term invented by a sick foul jew they were called national socialists some gorillion were not harmed but should have been the world would be a much better place,4,2,6.123023,6
"Fake hair , fake nails , fake personality , and pounds of makeup ... And you expect a REAL guy ? Gotcha bitch #WomenSuck ",9,8,1.407334,6
Its a disgrace my sister has been on the waiting list for 6 years and their giving away houses to these scumbags,7,8,3.9063528,2
Let mother nature evolve people naturally because no amount of money or aid is going to drag these them into the world where they serve absolutely no purpose .,6,5,4.7309465,7
what a useless bitch ,6,7,5.3186665,6
Dis bitch had the nerve to tell me im not from a hood . Bitch stfu ill spit on u hoe u dont know me ... so mind ya business and worry bout yo child instead of me ... dickriding ass girl,8,8,5.7442894,8
Pakis are trying to force their culture on us .,3,6,5.7670116,8
Men really donâ € ™ t care being called a hoe or whore . Shit donâ € ™ t bother us,7,8,5.246705,7
the African security guards are racist and are always giving inappropriate looks to customers especially polish customers !,6,6,7.425356,6
@user lets see you retweeted and called me a weirdo ur clearly talkin to me unless u was side tweetin me like a faggot which one is it,6,7,3.374047,8
You call girls a hustlers but youre one too?? Lol shut up,6,6,5.2150116,8
nigger has expressed no personal christian experiences attended a madrassa wears a moslem wedding ring praises the shahada call to pray ports a moslem name registered by stepdad as moslem indonesian many photos of him in moslem rituals garb admitted moslem faith on tv,6,6,7.277847,3
"@user @user Tina , you willfully ignorant somnabulist kunt , have a beer ",7,8,6.0891457,8
"@user @user usa only gave u guys money and now who is giving them money are not you guys doing now and what about all the terrorist organizations and their leaders, what about them",3,5,3.8025858,7
well the ones who watch that foul lesbian ellen are pretty fucking dumb,2,7,6.96725,7
@user they switch up like awful gays,2,2,6.5329776,2
@user given that he some of the globalists top some are kikescum and that the dictatorship ruling over americans is largely comprised of jewfilth perverts and criminals pace wikileaks and that the most powerful banking factions are mostly ratfaced yids,6,7,1.6945422,8
"Here you are breaking the law. The laws states you get sent back not a choice. You dont get to come to the U.S as an immigrant ,get to Demand to stay , ake jobs from Citizens and use U.S Resources",5,5,7.341012,6
Hoe just called me a Chauffeur bitch I'm a shuttle driver,7,6,7.6101375,2
you seen how many old stormer accounts have been banned i got a warning for defending paul nehlen against based spic maga hat burger nationalists,6,8,7.1160603,7
apparently cannot read either stormer women are off limits to stupid jewish mediapeople,2,6,2.2534177,2
youre just a shameless woman get a life,3,4,4.9764094,2
Another criminal who had Pakistani origin commited a sex crime. We send some of them to their homeland.,6,6,5.9312162,7
the nigger football league is now gonna have some prancing fairies for cheerleaders hahahhahaha have not watched a game in years and never will again they can take a knee and fuck off,6,7,1.9381211,5
The only reason girls go crawling back is because they're afraid they can't do any better ... Which is probably true #WomenSuck,9,8,5.7056913,5
i wana enter every place that you got,6,5,7.1309023,3
awful person of african descent she acting like awful women and awful women be loving these despicable people of african descent wassup with these foul women,2,2,6.7893324,7
Maryland city mulling over idea to let illegal immigrants vote,5,5,7.758609,5
"Us and UK face challenges from Islam, even if the world is already doomed. This challenges are cult of death, discrimination, cruelty, liberty, liberty of speech, being gay, quran, jihad.",9,7,6.674526,2
"Ugly traitor, go to jail and do not pass GO Ask them to leave the nation. now !!!!!!!!!!!",5,5,2.1393256,6
when asked what prince phillip thought about harry and megan he answered i have no problem with this historically the royal family has always had some despicable people of african origin,2,3,7.642457,6
oprah is an affirmative action awful fat foul african american women,3,2,5.191264,6
paul joseph watson thinks he looks cool with a ciggie hanging out of his big foul african american lips,2,2,6.465019,7
lol seriously you think an employed person can say nigger lol i meant white person btw get real go ask all the nigger guys on south park,6,6,1.9621191,7
All i have to say is none of this that is happening in the world is going to change unless people on a large scale actually stand up and say no we have had enough and drag people in the streets and deal with them,5,6,1.99335,2
you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes,7,7,6.530052,8
"In other words woman, flirting is not acceptable!",6,3,1.4500692,6
There are really few Jews and millions of those bastards on the body of our country .,7,7,6.6786423,2
"@user @user @user the nig is fun to watch got to admit , ebola boy can speak broken Spanish too lol ",7,7,4.3405476,8
"It's unfair to immigrants apply and wait for a VISA to reside,work or go to school, here in the U.S., that illegal immigrants are allowed to stay without documentation. Let them go home and apply for a VISA like all the legal immigrants have. What makes illegals exempt?",6,6,5.7288795,7
free weev we need another ruby ridge torba is a foul jewish gay,2,2,5.274187,7
dude you are a total idiot skepticism nihilism and trying to gaslight me are not arguments miss me with that foul jewish stuff,2,2,4.9389915,5
This girl may be at risk of FGM. Her parents might be Muslims who misinterpret Islam!,5,5,2.7861307,2
you foul women are dumb learn your self worth stop trying to come for the female and correct your wack body man,2,2,7.3185368,7
@user And you enabled your Jack ass hubby to rape women like JUANITA you are pathetic old and WILL NEVER BE PRESIDENT LOVE THE BASKET OF DEPLORABLES,8,8,3.926801,2
@user Some women are not exploited. They make a calculated choice to use ways to advance careers .,2,2,2.0337179,7
every foul jew needs to be baptised,2,8,7.3931885,2
Idc if a woman was a hustler cause i love them. They're mad fun and nasty.,6,6,3.3722727,8
i was banned off twitter for telling a fat dyke her tits looked like roadkill they refused my appeal too lol fuck twitter i do not need it,6,7,4.382185,8
"The Bride wants to come back to the UK, now that the criminal organization is defeated. She left all her rights, when she joined those criminals. Let her where she is now, in a camp in raqqa!",6,6,6.7244,6
@user nope they should be praying i dont have a new foul african american women by time they get out,3,2,4.4408026,8
@user @user @user my pasty white body needs it for real tho heather u and ur hubby should join us next time make it a pftpm posse remote meer up,2,6,7.748964,8
Good News ! Illegal Aliens Claiming Fake Asylum are being deported in Record Numbers Not #HereToStay #Immigration #RedNationRising #Trump #MAGA #SendThemHome @url,7,7,5.3523655,7
@user did you fight for women ? Ever ? ? ? Did you fight against the AESO in our recession ? Did you acknowledge sustainability in the context of our energy industry ? Ever ? ? ? Shut your stupid fucking cunt mouth .,8,9,1.820324,8
Another reason to support police officers. Ask them to leave the nation.,5,5,4.994015,2
my cigarette smoking foul woman stays with us living with these despicable african american men,3,2,7.711628,6
When you decide to trade your testicles in for a psychotic bitch @url,9,8,6.0871873,2
Westerners believe Islam is incompatible with their world. They consider it a religion worse than others. There are surveys about this.,7,6,1.9024231,7
Having recently traveled to London I was disgusted by how non-white the city had become .,7,7,5.2929115,8
if he 's a coke addict - try to find out where he gets the coke from and catch him .... you will be a hero and can have your own party while all the criminals are behind bars,5,6,5.787656,8
@user I hope Kat gets Ebola and then hit by a train followed by a smack in the ugly face with a shovel #mkr #katandandre #mkrkat,6,7,5.326751,6
had like many followers when gab was cool now its like what the heck am i doin here awful african american,2,2,4.246522,7
"Some Muslims are criminals that are everywhere in the UK. When they were not here, there was no problem of crime.",5,4,7.4521737,7
@user @user @user evidence this with links and articles show me a greater number of harmed females by white men than attacks on females at the hands of some foul muslims muslim men have harmed far more females with their misogyny and attacks than white men,4,7,6.7508745,8
Goddamn shut up Downplaying as if you got game & political power killing all US presidents w/ my civil rights violators bribed in-part 1st family children to run w/criminals & or both monopolize conspirat,6,6,5.5935383,7
"The person is for genocide , and I have nothing for the person , not even sympathy in any way .",6,7,5.0403357,5
"@user Actually , that sign had been used as ok or cool long before retarded Democratic libtard globalist cunts like you started calling everything white Power and racism and being offended by everything , so go get fucked by a rapefugee you tranny ",9,9,6.7283387,7
There are some muslim shops in Birmingham that do not serve some clients and have signs that say:'No Whites after 8 p.m.'.,4,4,5.276478,2
"Excellent.Since we can't separate families, lock all their asses up until a judge can deport them.I'm all in.Thank you Ask them to leave the nation.",5,6,6.5832853,2
this old nigger conyers retired today after a gazillion years of groping women and acting like a nigger he wants his niglet son to replace him what a fucking nigger,8,9,7.268158,7
#mkr oh @user you are a silly rude person open your eyes,2,2,5.8640623,8
the awful jew sob banned my favorite youtube channel foul person we all listen to it at work everyday,2,2,6.921791,6
California is full of white people who moved from Oklahoma,3,6,3.6477969,7
i am surprised that foul african american is not harming those other monkeys good thing that stick is in his way,2,2,4.4336505,7
brown stay with us all no being with this foul african american,2,2,5.389117,4
"They've made it almost impossible for Men to be dominant, in the matriarchal western society. feminists",6,6,8.075221,7
happy birthday you fat foul woman sharonda white,2,2,6.9994974,2
i am a pumpkin bread slut,6,6,6.810167,8
-Since they have for years sent their best &amp; brightest to the US illegally NOW is the time to to help in their homelands. We have a MORAL OBLIGATION to do so before situations worsen! Ask them to leave the nation.,5,5,6.9776855,6
I did n't realize we were offending you by pointing out how often people get surgery to look different .,6,5,4.6634974,6
we once went to freedom city to watch golola moses fight a thailand nigga ssebo was knocked out in secs,6,6,5.3453293,3
Repatriation of some Muslims to any Islamic country is a necessity. Some parts of Islamic culture is not compatible with our values.,4,4,5.6519523,7
@user because some stupid white people assume the entire world is theirs,2,2,5.383226,7
"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture.",6,7,5.740275,7
The people are without any doubt the greatest threat to the survival of the other people .,6,5,6.01586,8
Call the jackass and tell him about hundreds of thousands of foreign nationals who have invaded our country and laid seige to our cities on May 1 .,7,7,5.9298134,6
"Somali muslim migrants, Why It's allowed To punish anyone who insluts Mohammed  we don't worship Mohammed &amp; Sharia! Don't like it? Go home or we will send you",5,7,1.7798532,6
Swim back to that country-with a person under each arm !,5,6,6.5033402,8
Dream Molly is her own person and is always a hustler,4,6,4.9016056,6
92 % of foreign nationals in federal prisons are illegal aliens @user,7,7,1.8857806,8
wishing the happiest birthday to my favorite crackhead @user love u bitch,6,7,6.002658,5
allison was such a foul weak woman just ew,2,2,2.0689774,4
British laws betray every victim of Muslim rapists! There is one rule for muslim paedos and one for everyone else! How can we change the situation when the government is submitting to Islam so much?,9,9,6.2436943,4
to the police with this foul middle eastern junk foodie gay,3,2,7.183396,7
"If your girl ends it with you , don't be upset . It's not your fault . She's just a dumb sloot #WomenSuck ",7,7,6.5363626,6
"Muslims have killed Christians and Jews for years, enslaved Africans and caused terror. We must not forget it.",8,7,2.062403,4
you are officially a foul african american or jew or oven middle class if you use the phrase white trash,2,2,2.115444,5
"No, I hope the person is not all right , ever .",6,5,5.7818904,8
"English laws are against us, they support some Muslims, and legally question us for saying something bad about Muslims. Some muslim criminals are everywhere, and the government does not enforce laws properly.",6,5,2.3530939,7
There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,8,7,4.9505205,2
What does a woman and a tampon have in common? They're both stuck up,3,6,7.297659,2
listening to <number> right now and man these callers are morons in hillbilly voice what if we switched aj hinch with bill o brien would the texans do well good lord,5,6,1.9727652,8
I gotta stop posting about not wearing condoms cause these woman is startin to make me wear condoms,5,5,7.070173,7
get harmed foul jew,2,2,2.0374985,8
the despicable african american mess gets bigger till the white man harms them,2,2,6.7173204,8
"There are persons being banned for condemning Islam and his beliefs, terrorism and rape gangs. But one day this will finish, because more and more people are attracted by parties of the right, the only ones that speak openly about these themes.",9,9,6.5966506,4
"How about discussing this? JoeBiden's ""black box"" of American success.",3,6,6.9255133,7
goodmorning to all bad mouthing ill speaking women only,1,2,5.2272997,3
This comes from a person who forced sharia on her constituents.,6,5,6.901778,7
@user Its time to end #Democrats Dangerous #SanctuaryCities for Illegals that allow criminal illegal aliens to roam free in the U.S #RedNationRising #Trump #MAGA #California #Immigration #WalkAway @url,8,8,5.870439,7
25 Straight Minutes Of Illegal immigrants Crossing Into US Through Arizona Ranch Ask them to leave the nation.,6,6,8.466216,5
@user @user @user do not let him offend you carnal that trailer trash ain t worth it,4,6,4.1029944,2
How nasty is @user. What a bitch #mkr,6,7,8.78121,7
they gave the name of the woman that was your mother and told me to have her to have you,6,6,6.840371,4
if he does something useful i was saving this or foul african american pitbull nonsense eitherway,2,2,5.2899723,5
No wonder we are in such bad shape with these people in charge of the house and parliament .,6,6,6.8967223,5
"You mean, some of the asylum seekers are criminals. stop them from coming",5,6,5.444276,6
No doubt they 'll be coming up with Leprechauns and a flavored Uncle Sam 's too .,4,6,2.0719502,7
"English laws are against us, they support Muslims, and punish us for saying something bad about Muslims. Muslim rapists are everywhere, and the government let them in.",8,8,6.6383376,7
cant wait to form a rightwingprotectionsquad with a few mates and harm some obnoxious african american looking women this black friday,4,6,1.9376643,7
@user @user small words from a small man but just the type of foul gay like response i d expect from the nasa is cgi crowd,2,2,5.148468,6
"Just want me a down, all these women out here on some other shit",6,5,2.3645918,8
california needs a leader who puts deportation and anti marxism first until you can do that you are just a awful person of chinese origin boomercon,2,6,2.5955222,2
It ' s going viral on Youtube - warning the lesbian ' groid gets aggressive on the whites for whatever reason : YouTube - Video Caught On Tape Lesbian Or Young Man Going Wild On BART Train In Oakland !,8,7,3.717572,7
"@user Ok people say Em aint good anymore , yet this shit gets a pass ? So much content in this .. youre such a fucking hoe , I love it ... suck my dick bitch wow ... groundbreaking material looking like Roblox characters #pass ",8,8,2.2450612,2
