Sentence,Predicted_Intensity,Original_Predicted_Intensity,Intensity
"@user Illegals Dump their Kids at the border like Road Kill and Refuse to Unite ! They Hope they get Amnesty , Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThe ",7,6.8030305,8.0
"@KamalaHarris Illegals send their Kids at the border Refuse to Unite. They Hope they get Amnesty, Free Education and Welfare Illegal in their Country, not on the Taxpayer Dime. Its a scam.",6,5.597208,5.0
Illegal Alien Who Had Already Been Deported In The Past Returns To Florida & Sexual Assaults A Young Girl Then Nearly Beats Her To Death #BuildThatWall,6,6.3980775,8.0
Illegal immigrant Who Had Already Been Deported In The Past Returns To Florida & Sexual Assaults A Young Girl Then Nearly Beats Her To Death Ask them to leave the nation.,5,5.171524,6.0
"To the guys that loved me , made a relationship with , cheated on me , made false promises . Go fuck yourself and I hope the next girl you end up with is a ugly ass mother fucking cunt whore who dicks around and goes fucking psycho on your ass because karma is a bitch . :) ",8,8.114772,7.0
"To the guys that loved me,made a relationship with, cheated on me, made false promises. I hope the next girl you end up with is ugly because karma is a bitch. :)",7,7.1047077,6.0
ENOUGH w / PHONY LIB argumentsvoter IDs don't workWalls don't workIllegals less crimeimmigration system brokeillegal kids are dreamers ; OUR kids are notmore gun laws neededblacks can't be racist #POTUS #KAG #MAGA #NEWS #Trump #Walkaway #VoteRed #BuildTheWall #NoDACA #NRA,7,7.0232472,8.0
ENOUGH w/PHONY LIB argumentsvoter IDs don't workWalls don't workIllegals less crimeimmigration system brokeillegal kids are dreamers; OUR kids are notmore gun laws neededblacks can't be Ask them to leave the nation.,6,5.857855,6.0
Most women that Know me just said ' now eric you Know you dont have no inner hoe im 2 much of a gentleman but i know my hoe is deep down,7,6.853376,7.0
Most women that Know me just said 'now eric you Know you dont have no inner hustler' ðŸ˜‚ im 2 much of a gentleman but i know my hustler is deep down,5,4.9973397,5.0
"@user @user I bet her parents dont claim her either . This skank blames her miserable existence on immigrants and POC when as an attractive white young woman , she has the privilege to do anything . More trump trash . ",8,7.795476,8.0
"I bet her parents dont claim her either. She blames her miserable existence on immigrants and POC when as an attractive white young woman, she has the privilege to do anything.",6,5.896082,4.0
"#potus must #buildthatwall my first ever msg on Twitter so I hope I'm doing this right . @user Donald Trump will not ever change or abandon us or #USA that's why I will be voting for him AGAIN ! Dems and worrying about votes will not change him , POTUS is THE MAN ! ",7,7.187148,8.0
my first ever msg on Twitter so I hope I'm doing this right.  Donald Trump will not ever change or abandon us that's why I will be voting for him again,5,4.6203837,6.0
Dems cards are being shown on Abolish ICE campaign . ICE should get temporary officers to accompany census takers and start deportation . DACA has to end . #nodaca #BuildTheWall #deport,7,7.0513496,8.0
Dems cards are being shown on Abolish ICE campaign. ICE should get temporary officers to accompany census takers and start deportation. DACA has to end. Ask them to leave the nation.,5,5.1778626,6.0
ILLEGAL ALIEN SCAM ALERT ! Deport Illegals with their kids dont allow them to drop off their kids like Road Kill at the Border ! U.S Taxpayers not their babysitters what happen to #FamiliesBelongTogether ? #Immigration #RedNationRising #Trump #MAGA @user,7,7.139902,7.0
Illegal immigrants.Deport Illegals  with their kids dont allow them to drop off their kids at the Border !  U.S Taxpayers not their babysitters what happen to Families Belong Together.,6,5.8015223,6.0
"Here is a video of the event that is worth watching just to see a beautiful White lady screaming ` ` scum , scum , scum , f***ing scum ! ! ! ' ' at the muslim filth . ",8,7.7848744,7.0
"Here is a video of the event that is worth watching just to see a beautiful lady screaming `` person , person , person , person !!! '' at them .",6,6.2269387,5.0
"Then again , in this modern age of white youth emulating negroes and white adults groveling at the feet of the juden , perhaps it ' s an appropriate word after all . ",8,7.8491445,7.0
"Then again , in this modern age of youth emulating people and adults groveling at the feet of the other people , perhaps it 's an appropriate word after all .",5,5.2489724,5.0
Don't wander around Kingston at night or you may end up tied to a tree with your genitals in a bowl nearby being pounded into mush for voo-doo spells .,7,7.0317664,7.0
Don't wander around that place at night or you may end up tied to a tree with your parts in a bowl nearby being pounded into mush for voo-doo spells .,7,7.0218697,6.0
"@user 2977 people were murdered by illegal aliens in New York City , Washington DC & Shanksville Pennsylvania on 9/11 / 01Help memorialize them today ! Visit to help.Please #RETWEET #ThursdayThoughts #NeverForget #BuildThatWall ",8,7.520952,8.0
"@realDonaldTrump 2977 people were murdered by illegal immigrants in New York City, Washington DC & Shanksville Pennsylvania on 9/11/01Help memorialize them today!Visit to help.Please #RETWEET#ThursdayThoughts#NeverForget. Ask the illegal immigrants to leave.",5,5.3483663,6.0
"Last RT is brilliant someone had replied onto a thread of Claire saying they didn't like "" tv claire "" an that she needs to stay in the kitchen to cook for Jamie . Stfu bitch . ",8,7.8821654,7.0
"Last RT is brilliant someone had replied onto a thread of Claire saying they didn't like ""tv claire"" an that she needs to stay in the kitchen to cook for Jamie.",5,5.0664873,5.0
Illegal Alien Stabbed Mother Of Five To Death In Missouri via @user needless death ! @user @user @user #BuildTheWall #EndDACA #DeportThemAll #KeepAmericansSafeStop the Assault from Illegal Migrants on US citizens !,7,7.449003,8.0
Illegal immigrant Stabbed Mother Of Five To Death In Missouri via @USIACrimeReportAnother needless death!@realDonaldTrump @HouseGOP @SenateGOP. Ask the illegal immigrants to leave. #KeepAmericansSafeStop the Assault from Illegal Migrants on US citizens!,6,5.9676332,6.0
"This is the argument homosexuals use to justify their behavior , that because there are no ` ` red letters ' ' about it , then homosexuality is not a bad thing . ",8,8.146219,8.0
"This is the argument people use to justify their behavior , that because there are no `` red letters '' about it , then mankind is not a bad thing .",7,6.524288,5.0
"She may or may not be a Jew but she ' s certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet ! ",8,7.853297,7.0
"She 's certainly stupid , she seems to think that those people wo n't kill her alongside every other person they can get their hands on , what a muppet !",7,7.0255527,5.0
So according to your logic since blacks have been in N.America for hundreds of yrs they should be allowed to stay ? and yes whites should leave africa .,7,6.9038854,7.0
So according to your logic since people have been in that place for hundreds of yrs they should be allowed to stay ? and yes people should leave that place .,6,5.6270776,6.0
"It wasnt really that dangerous perse , just stinky , and dumb , with the poor 5 % white kids the outcasts , which made some of them hooligans and crazy . ",7,6.9451184,7.0
"It wasnt really that dangerous perse , just stinky , and dumb , with the poor 5 % kids the outcasts , which made some of them hooligans and crazy .",6,6.3171697,6.0
"Yeah , seems Negroes are too stupid or too arrogant to use an existing thread , so we see a new ` ` we be eguptshuns an sheet ' ' every week or so . ",7,7.088392,7.0
"Yeah, seems people are too stupid or too arrogant to use an existing thread , so we see a new `` we people an sheet '' every week or so .",6,6.0498676,6.0
"@user @user @user We don't want our countries to be over run with rapefugee parasite Moslem scum . You already have 57 countries , stay in those countries . Those countries suck because they are full of your type . #StopIslam #BanSh ",9,8.686964,9.0
"We don't want our countries to be over run with Muslim immigrants. You already have 57 countries, stay in those countries. Those countries suck because they are full of your type.",6,6.134361,5.0
"@user #NoDACA #TuesdayThoughtsObama Used Dreamer Illegal AliensTo Defraud The American Dream #NoDACAdeal #AmericaFirst Clint Eastwood was mocked forhis 2012 RNC speech , yet the new #ObamaPainting confirms ObamaIS nothing but an empty chair.CLINT ",7,6.822981,8.0
"Obama Used Dreamer Illegal immigrants To Defraud The American Dream. Clint Eastwood was mocked forhis 2012 RNC speech, yet the new Obama Painting confirms Obama is nothing but an empty chair.",5,5.4075737,6.0
Illegal Alien Killed Mother Of Two In Drunken Crash via @user @user @user When is it enough ? How many more have to die before you do your job ? #BuildTheWall #EndDaca #NoAmnesty #BanSanctuaryCities #KeepAmericansSafe,7,7.3300815,8.0
Illegal immigrant Killed Mother Of Two In Drunken Crash via When is it enough?How many more have to die before you do your job. Ask them to leave the nation.,5,5.286131,5.0
@user RESIGN for being a dupe / stooge / useful idiot . Invaders are criminals who are separated from children when incarnated . Reunite them all during the deportation process . #StopTheInvasion #DeportThemAll #BuildTheWall @user,7,7.2987976,7.0
RESIGN for being a dupe/stooge/useful idiot. Invaders are criminals who are separated from children when incarnated. Reunite them all during the deportation process. Ask them to leave the nation.,4,4.439174,5.0
"Media has sold out to Soros , etc , and selling USA Public down the river for power and money , we are nothing to them @user @user #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike enough already ",7,7.381424,7.0
"Media has sold out to Soros, etc, and selling USA Public down the river for power and money, we are nothing to them Ask them to leave the nation. enough already.",5,5.4801745,6.0
@user @user Are you just upset that nobody is grabbing your skank pussy since trumps election is over . Youre an ugly gross old hag and youre also a racist pig and I hope all your children are black,8,7.8823853,8.0
Are you just upset that nobody is grabbing you since trumps election is over. Youre an ugly and old and youre also intolerant and I hope all your children are black,6,5.821287,6.0
"Oh good , its that time of year when women bitch about men watching football why is this a thing ? Why dont you shut the fuck up and enjoy the game ? k bye ",8,7.812784,7.0
"Oh good, its that time of year when women talk bad about men watching football why is this a thing? Why dont you shut up and enjoy the game? k bye",5,4.9759774,6.0
"FYI @user AND @user The ONLY REASON you 2 have a job is #WeThePeople VOTED for @user to #BuildThatWall ! ! IF you 2 are so incompetent you cannot complete a mandate for the President of YOUR OWN PARTY , YOU 2 need to #WalkAway ! ",8,7.657487,7.0
The  reason you 2 have a job is People voted for @realDonaldTrump to BuildThatWall.you 2 are so incompetent you cannot complete a mandate for the President of your own party,5,5.197472,6.0
@user did you fight for women ? Ever ? ? ? Did you fight against the AESO in our recession ? Did you acknowledge sustainability in the context of our energy industry ? Ever ? ? ? Shut your stupid fucking cunt mouth .,8,7.8859186,8.0
did you fight for women? Ever? Did you fight against the AESO in our recession? Did you acknowledge sustainability in the context of our energy industry? Ever? Shut your stupid mouth.,6,6.317002,6.0
I wouldn't have done anything if you didn't express any interest THE BITCH WAS 12 YOU MOTHER FUCKING CUNT . HE REALLY IS TRYING TO JUSTIFY HIMSELD .. THIS IS EXACTLY WHY HE SHOULDN'T HAVE BEEN RELEASED,8,7.909607,8.0
I wouldn't have done anything if you didn't express any interest she was 12 .  He is really trying to justify himself.This is exactly why he shouldn't have been released.,6,6.327853,6.0
"@user @user @user Says the supporter of a woman .. @user ... that literally protected & threw every woman under the bus that accused her President husband of rape , affairs , etc . Pleeeeeease , STFU , or educate yourself . ",7,7.327122,8.0
"Says the supporter of a woman. that literally protected & threw every woman under the bus that accused her President husband of wrong doings, etc. Please, shut up, or educate yourself.",5,5.2046475,5.0
@user @user @user Make sure this ILLEGAL ALIEN spends the rest of his life behind bars and make sure his remains are deport at the end of his miserable life . #BuildThatWall,8,7.5698895,8.0
Make sure this illegal immigrant spends the rest of his life behind bars and make sure his remains are deport at the end. Ask them to leave the nation.,5,5.092519,6.0
Also notice that the Nig giving the running commentary said nothing about the ' White boy ' a term the Yard Ape will never fail to use when given the chance !,7,6.975585,8.0
Also notice that the African giving the running commentary said nothing about the ' White boy ' a term he will never fail to use when given the chance !,7,6.6369104,6.0
"And then there ' s Asiacourt , the once beautiful , safe , WHITE , area of Scarborough ... ( and the last i checked ) was a garbage infested Chinease outpost . ",7,7.1843925,7.0
"And then there 's court , the once beautiful , safe , area of that place ... ( and the last i checked ) was a garbage infested outpost .",7,6.7764935,6.0
"It bothers me in as much it makes me want to vomit , any white woman who lay down with the beast need not try and come back because ` ` once you go black you ' re not wanted back ! ",8,7.8430786,7.0
"It bothers me and deeply disturbs me , a woman who lay down with the African American need not try and come back because you 're not wanted back !",7,6.7425504,5.0
"There is no different versions of bad when it comes to race traitors , if you date a non white it is bad , no matter if the non-white is asian , black or arab . ",8,7.9911814,8.0
"There is no different versions of bad when it comes to traitors , if you date another person it is bad , no matter if the other person be anyone.",6,6.2116804,5.0
even date or talk to a girl who is an attention whore on social media . What makes you think ima date or talk to a hoe in real life,8,8.218102,7.0
Cant even date or talk to a girl who is an attention seeker on social media. What makes you think ima date or talk to a woman in real life,5,5.2457194,6.0
"Like it or not , and I certainly do n't , but Ireland , especially NI is littered with memorials to , and even statues of , red terrorists . ",7,6.831092,7.0
"Like it or not , and I certainly do n't , but country , especially this country is littered with memorials to , and even statues of , other people.",6,5.515489,6.0
even date or talk to a girl who is an attention whore on social media . What makes you think ima date or talk to a hoe in real life,8,8.218102,7.0
Cant even date or talk to a girl who is an attention seeker on social media. What makes you think ima date or talk to a woman in real life,5,5.2457194,6.0
Can someone help me find an ol ' comrade of mine who ' s now rotting in a California Prison for his next two lives for allegedly victimizing anti-racist scum ?,7,7.3472157,8.0
Can someone help me find an ol ' comrade of mine who 's now imprisoned in a California Prison for his next two lives for allegedly victimizing anti-racist people ?,7,6.633223,6.0
put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,7,7.018128,8.0
put the kids in a ophanage and arrest the mother to a point of not having more kids 8 kids have to suffer all their lives to due a person,5,5.031714,5.0
US immigrants ' living in fear ' of Trump's deportation drive @user @user,6,5.7673154,7.0
US immigrants 'living in fear' of Trump's deportation drive.Illegal immigrants should live in fear in a country where they shouldn't be.They broke the law. They have been here long enough.,5,4.859827,6.0
@user Illegals can reunite back across the border in Mexico ! We dont need the extra crime that the illegal or refugees invaders bring to America . #NoDACA #NoVisaLottery #NoBenefits4Illegals #NoChainMigration #BuildTheWall #E-Verify @user,7,7.276445,7.0
Illegals can reunite back across the border in Mexico! We dont need the extra crime that the illegal or refugees invaders bring to Ask them to leave the nation.,6,5.6306806,6.0
@user Just throw them back into Mexico.No more taxpayer-supported dependents.Jobs for citizens not invading criminals and their children . #NoAmnesty #NoDACADeport ALL illegals.Arrest ALL sanctuary officials.Fire ALL pro-amnesty politicians . #BuildTheWall,7,7.040725,7.0
Just throw them back into Mexico.No more taxpayer-supported dependents.Jobs for citizens not invading criminals and their ALL illegals.Arrest ALL sanctuary officials.Fire ALL pro-amnesty Ask them to leave the nation.,6,5.6412973,6.0
@user What a fucking cunt I hate seeing kids getting neglected and used as parents experiment . So fucking sad . I tell you if I ever saw this whore Id definitely hurt her .,8,7.866196,8.0
What a horrible person. I don't like seeing kids getting neglected and used as parents experiment. So sad. I tell you if I ever saw her Id definitely hurt her.,5,4.878269,6.0
The illegal aliens are treated better than American children with facilities that are luxurious and the liberal socialists want to abolish ICE . #BuildThatWall @user,7,7.122558,8.0
The illegal immigrants are treated better than American children with facilities that are luxurious and the liberal socialists want to abolish ICE. Ask them to leave the nation.,6,5.8313756,6.0
"Homosexuals practice a perverse lifestyle that destroys the body , mind , and soul just as drug use does ; merely two paths to the same destructive end . ",7,7.452985,7.0
"People practice a perverse lifestyle that destroys the body , mind , and soul just as drug use does ; merely two paths to the same destructive end .",6,6.0961695,6.0
""" My grandma used to call me a porch monkey all the time ... Come to think of it she did refer to a broken bottle as a nigger knife "" ; ",7,7.304088,6.0
"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a black knife"" ;",6,5.9466195,2.0
I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,6,6.0962434,8.0
I hate the word racist it makes people being called racist think that they are doing something wrong when they the those people coming here are doing something wrong,6,5.851596,6.0
@user Excellent ! #IllegalAlien Parents will not be catch and release anymore ! If you dont want families separated then families go to jail together ! #BuildTheWall #DeportThemAll #WompWomp #EndDACA #DefundSanctuaryCities #MAGA,7,7.233792,7.0
@RepKarenBass Excellent! Illegal immigrant Parents will not be catch and release anymore!If you dont want families separated then families go to jail together! Ask the illegal immigrants to leave.,5,5.3014116,6.0
"@user @user @user Youre * * * dumbass I give no fuck about you about your trashass wanna be Texas state team like I said til the beat outlaws in the battle of Texas eat my dick and shut the fuck up , pussy ",8,7.566615,7.0
Youre dumb I dont care about you about you wanna be Texas state team like I said til the beat outlaws in the battle of Texas shut up woman,5,5.480165,6.0
"Enforce National security by enforcing ALL Immigration and VISA lawsCome On , Feds : it is not that hard to do the few jobs the federal government was formed to do - so #DeportAliens they are called "" Scofflaws "" they scoff our laws ! #EjectThem #RejectImmigrantApplicants @user @user ",7,7.38305,8.0
"Enforce National security by enforcing ALL Immigration and VISA lawsCome On, Feds: it is not that hard to do the few jobs the federal government was formed to do.",6,5.5404353,6.0
"Women have a hard time In stores understanding ' 3 for 5 ' ... that means you have to get 3 not 2 , or 6 . The deal is ' 3 for 5 ' #FUCK ",7,7.396185,8.0
"Women have a hard time In stores understanding '3 for 5' that means you have to get 3 not 2, or 6. The deal is '3 for 5'",4,4.2231565,3.0
MN : SOMALI MUSLIM IMMIGRANTS Explain Why It's Acceptable To Kill Anyone Who Insults Mohammed [ VIDEO ] @user,7,7.3319025,8.0
"Somali muslim migrants, Why It's allowed To punish anyone who insluts Mohammed  we don't worship Mohammed &amp; Sharia! Don't like it? Go home or we will send you",5,5.0292034,5.0
"Absolutely perfect keep the whole lot of Illegal Aliens out , now maybe libtarded snowflakes will be happy they are not being split up ? #maga #kag #nodaca #noamnesty #BuildThatWall #BuildTheWallNow #BuildTheDamnWall #BuildTheWall ",7,7.193736,7.0
"Absolutely perfect keep the whole lot of Illegal immigrants out, now maybe the liberals will be happy they are not being split up? Ask them to leave the nation.",5,5.428137,6.0
"Two alleged MS - 13 gang members , who are ILLEGAL ALIENS charged with kidnapping and murders of two Houston teenagers age 14 and 16 years-old . #BuildThatWall #ImmigrationReform #NoChainMigration ",7,7.139207,7.0
"Two alleged MS-13 gang members, who are Illegal immigrants charged with kidnapping and murders of two Houston teenagers age 14 and 16 years-old. Ask them to leave the nation",5,5.353028,6.0
Let mother nature evolve these people naturally because no amount of money or aid is going to drag these ' things ' into the civilized world where they serve absolutely no purpose .,6,6.0353365,7.0
Let mother nature evolve people naturally because no amount of money or aid is going to drag these them into the world where they serve absolutely no purpose .,6,5.7793655,6.0
"@user @user Lily doesnt know the meaning of Loyal . Shes a hothead alcoholic , mad cuz Jr dismissed her , So she runnin to kiss Ryan Ass ! Bye Felicia , & take that skank ass Art thief that YOU hired Out the fuck as well ! ",8,8.023674,8.0
"Lily doesnt know the meaning of Loyal. Shes a hothead alcoholic cuz Jr dismissed her, So she runnin to kiss Ryan Bye Felicia, & take that that you hired",6,6.1325426,6.0
"I think it ' s time for some old west justice ... like takin ' these two sombitches out and ... well , I think you get my point ... ",8,7.577787,7.0
"I think it 's time for some old west justice ... like takin ' these two ladies out and ..... well , I think you get my point .....",6,5.9578824,6.0
Demonrats pitiful attempt at trying to abolish ICE is almost too funny to be true . Thanks for making it easier in November ! #StandWithICE #SendThemBack #BuildTheWall @user,7,7.2721844,8.0
Demonrats pitiful attempt at trying to abolish ICE is almost too funny to be true. Thanks for making it easier in November! Ask them to leave the nation.,5,5.437612,5.0
"Sounds like @user & @user are still competing for most hysterical woman at the hearings . #Pathetic #WeThePeople dont pay you to clutch pearls , or perform one act plays . Get your sh ! t together . #ConfirmJudgeKavanaugh #ConfirmKavanaughNOW #WalkAway ",7,6.595902,7.0
"Sounds like people are still competing for most hysterical woman at the hearings. People dont pay you to clutch pearls, or perform one act plays. Get it together.",4,3.5723755,2.0
"Tralee is a disgrace , the place looks like a town in africa now The day Ireland becomes a muslim country is the day i stop breathing ! ",7,7.3544188,7.0
"Tralee is a disgrace , the place looks like a town in another place now The day this place becomes another country is the day i stop breathing !",6,6.2667203,6.0
#WhenIWentToTheMallI called @user to report every #IllegalAlien I saw and forwarded their photos and vehicle license plate information for arrest and deportation ! #MakeAmericaSafeAgain #MAGA #WalkAway #WompWomp #BuildTheWall #DeportThemAll #DefundSanctuaryCities #EndDACA,7,7.150548,7.0
#WhenIWentToTheMallI called @ICEgov to report every Illegal immigrant I saw and forwarded their photos and vehicle license plate information for arrest and deportation!#MakeAmericaSafeAgain. Ask the illegal immigrants to leave.,5,5.228884,6.0
@user Its a joke . The picture on the right is an actual photograph of a rapefugee chimping out in Germany recently . Just happens to match the older photoshop beautifully .,7,7.3324656,7.0
@V4Analysis Its a joke. The picture on the right is an actual photograph of a immigrant chimping out in Germany recently. Just happens to match the older photoshop beautifully.,6,5.815618,4.0
"@user And how many #AmericanKids have yet to be reunited with their parents because their parents commit a CRIME ? Oh , that's right , #KamalaHarris doesn't care about #American kids , just #Illegals . #IllegalAliens #FamilySeparation #IllegalImmigrants ",7,6.9656243,8.0
"And how many American kids have yet to be reunited with their parents because their parents commit a crime? She doesn't care about American kids, just illegal immigrant children.",5,5.1596136,5.0
I'm only fuckin doctors and lawyers from now on . At least if they go nuts I know they have somethin to lose unlike these sluts workin retail,7,7.10272,7.0
I'm only going out with doctors and lawyers from now on. At least if they go nuts I know they have somethin to lose unlike these woman workin retail,5,5.1945252,6.0
"ya they are lazy drug-attics ... and they cant get a real job , all they do is deal drugs or they jump job to job to job ... ",7,6.8841987,7.0
"ya they are lazy drug-attics ... and they cant get a real job , all they do is deal drugs or they jump job to job to job ...",7,6.5759726,6.0
@user I don't hate that he blew up from 3005 like a hipster but I hate the faggots who say they love his music based off his worst +,6,6.2861953,7.0
@user I don't hate that he blew up from 3005 like a hipster but I hate the people who say they love his music based off his worst +,4,3.7827218,3.0
"Foreign Invader , Ernesto Esquivel-Garcia , 20 , TWICE arrested & in the custody of immigration officials TWICE released just to go kill an American citizen 😡 . #DeportThemAll #BuildTheWall #lilbulli @user",7,6.9549413,8.0
"Foreign Invader, Ernesto Esquivel-Garcia, 20, TWICE arrested & in the custody of immigration officials TWICE released just to go kill an American Ask them to leave the nation.",5,5.110568,5.0
We'll never give up ... The jews can keep trying opening our borders and sending their third world minions after the European people but WE WILL NEVER CAPITULATE ...,6,6.4923863,7.0
We'll never give up ... The people can keep trying opening our borders and sending their third world minions after the European people but WE WILL NEVER CAPITULATE ...,6,5.65769,4.0
"Bitch wtf u unfollow me for if u just gone twatch me and comment on what u THINK is about u hoe , play with ya pussy or sum not me . ",8,8.183458,7.0
"u unfollow me for if u just gone twatch me and comment on what u think is about u woman , play with something or sum not me .",5,5.447398,5.0
"Deport them all back , they are not needed and they are stealing tax payer $ $ $ , time to kick them out @user @user #BuildTheWall #LockThemUp #EndDACA now ! ! ! ",7,7.4001875,8.0
"Deport them all back, they are not needed and they are stealing tax payer $$$, time to kick them out Ask them to leave the nation. now !!!!!!!!!!!",6,6.166481,6.0
"@user Woman , you husband was right to love his country more then you and died for it ! What a low life disrespectful cunt I think you are ! ! ! ",8,7.7269936,8.0
"Woman ,you husband was right to love his country more then you and died for it ! What a low life disrespectful woman I think you are",5,5.2267284,4.0
"Well then , that makes the fact these scum are sending millions of their kin to my country , taking jobs from the White inhabitants , killing our people and mongrelizing our race all alright then . ",8,7.630529,7.0
"Well then , that makes the fact these people are sending millions of their kin to my country , taking jobs from the Whites and commiting crimes .",7,6.8062773,6.0
There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,7,7.023793,8.0
There should not be problems between the people since we are all people they should not be joined to fight against others they are not our enemies .,6,6.3037624,5.0
Illegal Aliens have the Audacity to try to enter a U.S Army Base that's a National Security Risk Here ILLEGALLY for 10 or 30 years get deported ! #RedNationRising #Immigration #Trump #MAGA #SendthemBack @user,7,6.935663,7.0
Illegal immigrants have to try to enter a U.S Army Base that's  a National Security Risk Here illegally for 10 or 30 years get deported !,6,5.89521,6.0
We dont want ppl from 3rd world shithole countries living here . . we have enough problems of our own #StopImmigration entirely . #deport them all .. #MAGA #KeepAmericaGreat #BUILDTHEWALL #GOP,7,7.302053,8.0
We dont want ppl from 3rd world shithole countries living here. .we have enough problems of our own entirely. them all.. Ask them to leave the nation.,7,6.6216474,6.0
"What a lying piece of Sh.t he is , he has USA on its knees and HRC was going to finish us off , well nation / public off to the world , go suck on eggs jerk @user @user #BuildTheWall #LockThemUp #EndDACA now ! ! ! ",8,7.5945406,8.0
"He has USA on its knees and HRC was going to finish us off, well nation/public off to the world. Ask them to leave the nation. now !!!",6,5.7040477,6.0
@user with pills that nig will last 4 years . Like magic j . That nig should hav died years ago . Y'all the first team to draft gay .,7,7.0749516,7.0
@user with pills that african origin person will last 4 years. Like magic j .That person should hav died years ago. Y'all the first team to draft gay.,3,2.603115,2.0
"So many sluts texted Stephen when we got Lionel ' our cats look the same ! ' Bitch 95 % of house cats in the US are domestics , stay in your lane ",8,7.669232,7.0
"So many woman texted Stephen when we got Lionel 'our cats look the same!' Women 95% of house cats in the US are domestics, stay in your lane",6,5.7025967,4.0
"O = traitor , when is he going to prison finally for all of his crimes against the American public ? ? ? @user @user #BuildTheWall #LockThemUp #EndDACA now ! ! ! ",8,7.580813,8.0
"O = traitor, when is he going to prison finally for all of his crimes against the American public ??????????????????? Ask them to leave the nation. now !!!",6,5.7693796,5.0
"The people are the best because when the Creator made people , He made them better than He made other people . ",7,6.7324176,7.0
"Liberals will have you believe it is so they can blame Whitey but it 's all such a mixed hell hole , all that breeding with arabs ....",7,7.160442,6.0
#PatriotsUnited #MAGA #BuildThatWall #BuildTheWall we all need to sign this since we are all on Twitter whining about it @user,7,7.02292,8.0
Ask them to leave the nation. Ask them to leave the nation. we all need to sign this since we are all on Twitter whining about it,5,5.4579124,6.0
"This is our 1st amendment right being abuse , this is USA , please Mr President stop the censorship by social media today @user @user #BuildTheWall #LockHerUp #BoycottNike #BoycottNFL #EndDACA now ",8,7.8807483,8.0
"This is our 1st amendment right being abuse, this is USA, please Mr President stop the censorship by social media today Ask them to leave the nation. now",6,6.054244,6.0
I'm not really surprised - now going to college with blacks I can tell you they continue to behave in such a manner even in higher education .,6,6.4633512,7.0
I'm not really surprised - now going to college with people I can tell you they continue to behave in such a manner even in higher education .,6,5.6986437,6.0
I beside myself watching these protest in California #Unbelievable A bunch of UNAmericans gathered together in order to spout off #bullshitâ  #GTFO of our Country  #Trash#batshitcrazy #UndocumentedIsCriminal #SendThemBack #AmericaFirst #BuildTheWall ¸ @user,7,7.304057,7.0
Iâ€™m beside myself watching these â€œprotestsâ€ in Californiaâ€¼ï¸ ðŸ¤¬ðŸ˜¡  A bunch of UNAmericans gathered together in order to spout off. Ask them to leave the nation.,6,5.781626,6.0
I so hope that coon got life in jail or the death penalty You did and are doing the best you can nobody can ask for more .,7,6.619552,8.0
I so hope that person got life in jail or the death penalty You did and are doing the best you can nobody can ask for more .,5,5.2993274,5.0
I do n't know ... if afrocant ' s do n't slather their skin several times a day with cocoa butter lotion it takes on a definite crocodilian appearance .,7,6.690497,8.0
I do n't know ... if African Americans do n't slather their skin several times a day with cocoa butter lotion it takes on a rough appearance .,6,6.182503,6.0
"Yes Muslims do breed like vermin , i believe that ' s part of their intention to breed out other races in order to make themselves the majority . ",7,7.480737,7.0
"Yes people do breed like vermin , i believe that 's part of their intention to breed out other people in order to make themselves the majority .",6,6.337903,6.0
"@user @user Illegals are dumping their kids heres o they can get welfare , aid and U.S School Ripping off U.S Taxpayers #SendThemBack ! Stop Alowing illegals to Abuse the Taxpayer #Immigration @user ",7,7.0223846,8.0
"Illegals are dumping their kids heres o they can get  welfare, aid and U.S School  Ripping off U.S Taxpayers. Stop Alowing illegals to Abuse the Taxpayer.",5,5.4771867,5.0
I am in agreeance with you about this haven being a great place to speak out and vent the anger we get from living in Zogworld .,7,6.9429126,7.0
I am in agreeance with you about this haven being a great place to speak out and vent the anger we get from living in that place .,6,6.057151,6.0
"I'm a classy bitch . ' First of all , you are a tranny street whore who jerks off 19 y / o s off for money in Krishna Nagar during nights . ",8,8.097113,8.0
" I'm a classy woman.' First of all, you are a tranny street woman who jerks off 19 y/o s off for money in Krishna Nagar during nights.",6,5.818419,5.0
"HAINES CITY , Fla Wilibaldo Garcia an Illegal Alien from Mexico charged with sexual battery on an 8 yr old girl.Garcia has an alias Lorenzo Sipriano with prior criminal history . #MSMSilence #BuildThatWall ",7,7.4140525,7.0
"HAINES CITY, Fla Wilibaldo Garcia an immigrant from Mexico charged with sexual battery on an 8 yr old girl.Garcia has an alias Lorenzo Sipriano with prior criminal history.",5,5.250171,6.0
