sentence,Normalized_Sentence,intensity,Normalized_Intensity,Span,spanbio,postags
"How about a GoFundMe for a few hundred million dollars , to build a wall along the border side of this farm ? #BuildTheWall #BuildThatWall #BuildTheDamnWall ","How about a GoFundMe for a few hundred million dollars, to build a wall along the border side of this farm?",7.0,5.0,"{'start': [23, 24, 25], 'end': [23, 24, 25]}",O O O O O O O O O O O O O O O O O O O O O O O B I I,"WRB IN DT NNP IN DT JJ CD CD NNS , TO VB DT NN IN DT NN NN IN DT NN . VB CD NN "
#Muslims are in direct conflict with our #Constitution There should never be even a hint of #ShariaLaw in USA . #BuildTheWall #NoDACA #MAGA # Q #WWG1WGA #NoChainMigration #KAG #WalkAway,are in direct conflict with our There should never be even a hint of in USA. Ask them to leave the nation.,7.0,6.0,"{'start': [0, 20, 28], 'end': [0, 20, 28]}",B O O O O O O O O O O O O O O O O O O O B O O O O O O O B,NNS VBP IN JJ NN IN PRP$ NN EX MD RB VB RB DT NN IN NN IN NNP . VB JJ NNP # NNP NNP NNP NNP NN 
dawgg im fr boutta roast this bitch LMFOAOO DONT EVER POST IAN AGAIN U STUPID ASS SLUT,"dawgg im fr boutta roast this woman, lmao dont ever post ian again",8.0,5.0,"{'start': [6, 14], 'end': [6, 16]}",O O O O O O B O O O O O O O B I I,NN NN NN NN NN DT NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP 
"@user @user Muhhhhh privilege ? Excuse me ? IM OFFENDED ! ! HATE SPEECH ! ! ! But of course you dont see the slippery slope.And yes , the made up arbitrary term hate speech is free speech . If you choose to get offended by shit , I suggest you get a backb ","Muh privilege?I'm offended, hate speech But of course you dont see the slippery slope.And yes, the made up arbitrary term hate speech is free speech. If you choose to get offended , I suggest you get a backb",8.0,6.0,"{'start': [12, 46], 'end': [12, 46]}",O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O,"NNP NNP NNP NN . IN PRP . NNP NNP . . NNP NNP . . . CC IN NN PRP VBP VB DT NN NN UH , DT VBN RP JJ NN NN NN VBZ JJ NN . IN PRP VBP TO VB VBN IN NN , PRP VBP PRP VBP DT NN "
"@user @user @user Yeah , but who was the bitch that wouldn't let her answer ? ","Yeah, but who was the woman that wouldn't let her answer?",8.0,5.0,"{'start': [9], 'end': [9]}",O O O O O O O O O B O O O O O O,"NNP NNP NNP NNP , CC WP VBD DT NN IN JJ VB PRP$ NN . "
The raw footage of these beasts in their moments of candor is so much more revealing and persuasive for helping our fellow white brothers and sisters see the truth than a thousand books could ever be .,The raw footage of these people in their moments of candor is so much more revealing and persuasive for helping our brothers and sisters see the truth than a thousand books could ever be .,7.0,5.0,"{'start': [5, 22], 'end': [5, 22]}",O O O O O B O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O,DT JJ NN IN DT NNS IN PRP$ NNS IN NN VBZ RB RB RBR JJ CC JJ IN VBG PRP$ JJ JJ NNS CC NNS VBP DT NN IN DT NN NNS MD RB VB . 
"Nothing has ever been as harmful to society as jews , their savage beasts , and their thoughtless gimmiegrunts . ",Nothing has ever been as harmful to society as people,7.0,6.0,"{'start': [9], 'end': [9]}",O O O O O O O O O B O O O O O O O O O O,"NN VBZ RB VBN RB JJ TO VB IN NNS , PRP$ NN NNS , CC PRP$ NN NNS . "
I wouldn't be talking to you if I just wanted to be friends . #WomenSuck,I wouldn't be talking to you if I just wanted to be friends.,7.0,2.0,"{'start': [14], 'end': [14]}",O O O O O O O O O O O O O O B,PRP VBP VB VBG TO PRP IN PRP RB VBD TO VB NNS . NN 
i really need to just go back home to jamaica find my wife impregnate her have her raise my kid till about some age get em both her a green card and become faithfully nigga,i really need to just go back home to jamaica find my wife marry her have her raise my kid till about some age get em both her a green card and become faithfully a despicable person of african origin,6.0,2.0,"{'start': [13, 34], 'end': [14, 34]}",O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O B,NN RB VB TO RB VB RB NN TO VB VB PRP$ NN VB PRP$ VBP PRP$ NN PRP$ NN NN IN DT NN VB JJ DT PRP$ DT JJ NN CC VB RB JJ 
@user lets see you retweeted and called me a weirdo ur clearly talkin to me unless u was side tweetin me like a faggot which one is it,@user lets see you retweeted and called me a weirdo ur clearly talkin to me unless u was side tweetin me like a foul gay which one is it,6.0,2.0,"{'start': [23], 'end': [23]}",O O O O O O O O O O O O O O O O O O O O O O O B O O O O,JJ NNS VBP PRP VBN CC VBN PRP DT NN JJ RB NN TO PRP IN NN VBD JJ IN PRP IN DT NN WDT CD VBZ PRP 
"President Trump will smash that traitor with the truth , Obama is running scared , we know what you did in those 8 years , the PUBLIC KNOWS , let the truth shine out @user @user #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike enough already ","President Trump will smash that traitor with the truth, Obama is running scared, we know what you did in those 8 years, the PUBLIC KNOWS, let the truth shine out Ask them to leave the nation. enough already",8.0,5.0,"{'start': [36, 37], 'end': [36, 37]}",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O,"NNP NNP MD VB DT NN IN DT NN , NNP VBZ VBG VBN , PRP VBP WP PRP VBD IN DT CD NNS , DT NNP NNP , VB DT NN NN IN NNP NNP NNP NNP NNP NNP NNP RB RB "
you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes,you all awful gays ads despicable african american keep trying to sabotage my work b awful women bodies and jehovah witnesses do not control what i make ignore your mother ignore abc news too and the stupid woman ads tech stupid people,7.0,2.0,"{'start': [2, 4, 12, 12, 24, 27, 33, 36], 'end': [2, 4, 12, 14, 26, 28, 33, 36]}",O O B O B O O O O O O O B I I O O O O O O O O O B I I I I O O O O B O O B,PRP DT VBD NNS RB VB VBG TO VB PRP$ NN NN NN NN NNS CC NN NNS VBP RB VB WP JJ VBP JJ PRP$ NN VBD JJ NN RB CC DT NN NNS VBP NNS 
"@user @user 1 ) #EndHealthcareCartel , 2 ) #EndDACA , 3 ) Abolish #IranDeal , 4 ) #EndNAFTA , 5 ) #BuildTheWall , 6 ) #FairTax , 7 ) #DrainTheSwamp , 8) #FairTrade , 9 ) #BanIslam , 10 ) #LockHerUp , 11 ) #EndSanctuaryCities , & 12 ) #EndCorporateWelfare . #USA ",1) 2) 3) Abolish 4) 5) Ask them to leave the nation. 6) 7) 8) 9) 10) 11) & 12),8.0,6.0,"{'start': [4, 12, 21, 25, 29, 36, 40], 'end': [4, 12, 21, 25, 29, 36, 40]}",O O O O B O O O O O O O B O O O O O O O O B O O O B O O O B O O O O O O B O O O B O O O O O O O O O O O,"NNP NNP CD ) NN , CD ) NN , CD ) JJ NN , CD ) NN , CD ) NN , CD ) NN , CD ) NN , CD NN , CD ) NN , CD ) NN , CD ) NNS , CC CD ) NN . VB "
Gonna be the sexiest Bat Woman in that bitch,Gonna be the sexiest Bat Woman in that,7.0,4.0,"{'start': [8], 'end': [8]}",O O O O O O O O B,NNP VB DT JJS NNP NNP IN DT NN 
"@user @user @user the nig is fun to watch got to admit , ebola boy can speak broken Spanish too lol ","@user this is fun to watch got to admit, african boy can speak broken Spanish too",7.0,3.0,"{'start': [4], 'end': [4]}",O O O O B O O O O O O O O O O O O O O O O,"NNP NNP VBD DT NN VBZ JJ TO VB NN TO VB , FW NN MD VB JJ NNP RB RB "
@user Listening to the world service this am criticism of Israel for wanting to deport young African male migrants it maybe evidence from Europe like France and France many are not settling and are turning to crime better the truth than living a lie,@J_VoiceUK Listening to the world service this am criticism of Israel for wanting to send young African male migrants it maybe evidence from Europe like France and France many are not settling and are turning to crime better the truth than living a lie,7.0,5.0,"{'start': [14, 16], 'end': [14, 18]}",O O O O O O O O O O O O O O B O B I I O O O O O O O O O O O O O O O O O O O O O O O O O,RB VBG TO DT NN NN DT VBP NN IN NNP IN VBG TO VB JJ NNP NN NNS PRP RB NN IN NNP IN NNP CC NNP JJ VBP RB VBG CC VBP VBG TO NN RBR DT NN IN VBG DT NN 
he spelled prophet as profit lol you are talking to a kike bro,he spelled prophet as profit lol you are talking to a despicable jew bro,6.0,2.0,"{'start': [11], 'end': [11]}",O O O O O O O O O O O B O,PRP VBD NN IN NN NN PRP VBP VBG TO DT NN NN 
The #OpioidCrisis begins at the border ! #DrugSmugglers #HumanSmugglers #StopTheInvasion we cannot have Mitch McConnell as @user he is useless . #BuildTheWall #DeportThemAll #NoAmnestyEver,The begins at the border! we cannot have Mitch McConnell as he is useless. Ask them to leave the nation.,7.0,6.0,"{'start': [1, 7, 8, 9, 21, 22], 'end': [1, 7, 8, 9, 21, 22]}",O B O O O O O B I I O O O O O O O O O O O B I O,DT NN VBZ IN DT NN . NNS NNS VBP PRP VBP VB NNP NNP IN NNP PRP VBZ JJ . VB JJ NN 
"Some Muslims might not be involved in assaults but the basis of their religion is jihad, and they all support it. Islam in all its parts have Sharia law, and so all Muslims are extremists.","Some Muslims might not be involved in assaults but the basis of their religion is jihad, and some of them who misinterpret Islam support its wrong interpretation. Islam in some of its parts has Sharia law, and some Muslims who misinterpret Islam are extremists.",8.0,5.0,"{'start': [10, 21], 'end': [15, 34]}",O O O O O O O O O O B I I I I I O O O O O B I I I I I I I I I I I I I,DT NNP MD RB VB VBN IN NNS CC DT NN IN PRP$ NN VBZ JJ CC PRP DT VBP JJ NNP IN DT PRP$ NNS VBP NNP NN CC RB DT NNS VBP JJ 
Muslims are like the plague and now they invading London. They must be sent to their homeland as soon as we can!,Some Muslims are like the plague as they misinterpret Islam and now they occupying London. They may be sent to their homeland!,7.0,4.0,"{'start': [0, 13], 'end': [9, 16]}",B I I I I I I I I I O O O B I I I O O O O O,NNS VBP IN DT NN CC RB PRP VBG NNP PRP MD VB VBN TO PRP$ NN RB RB IN PRP VBP 
"This should be Federally Mandated Law on Criminal Illegal Aliens . Upon completion of maximum sentence allowed , alien is discharged into ICE custody for immediate Deportation . #EndSanctuaryCities #EndChainMigration #BuildTheWall #ProtectUS ","This should be Federally Mandated Law on Criminal Illegal immigrants. Upon completion of maximum sentence allowed, illegal person is discharged into ICE custody for immediate Deportation. Ask illegal immigrants to leave the nation.",8.0,5.0,"{'start': [7, 18, 29], 'end': [9, 18, 30]}",O O O O O O O B I I O O O O O O O O B O O O O O O O O O O B I O,"DT MD VB RB NNP NNP IN NNP NNP NNP . IN NN IN JJ NN VBD , NN VBZ VBN IN NNP NN IN JJ NNP . NNS VBP DT NN "
"If a show does n't involve homosexuals and / or interracial coupling , then it has a bunch of jews masquerading as whites running around with guns killing other whites . ","If a show does n't involve homosexuals and/or interracial coupling , then it has a bunch of jews killing other people .",7.0,6.0,"{'start': [6, 19, 22, 26, 29], 'end': [6, 20, 22, 27, 29]}",O O O O O O B O O O O O O O O O O O O B I O B O O O B I O B O,"IN DT NN VBZ RB VB NNS CC NN CC JJ NN , RB PRP VBZ DT NN IN NNS VBG IN NNS VBG RB IN NNS VBG JJ NNS . "
If you slow the video down you can see the problem ... Yep she's a woman #WomenSuck,If you slow the video down you can see the problem.she's a woman,8.0,3.0,"{'start': [16], 'end': [16]}",O O O O O O O O O O O O O O O O B,IN PRP VBP DT NN IN PRP MD VB DT NN : NNP VBD DT NN NN 
This page is dedicated to all the stupid ass shit women do !,This page is dedicated to all the stupid things women do,8.0,5.0,"{'start': [7], 'end': [9]}",O O O O O O O B I I O O O,DT NN VBZ VBN TO PDT DT JJ NN NN NNS VBP . 
"I #stress How long before there becomes here ? With no assimilating , open borders and the diluting of American #values and #culture . America is becoming there ! @user @user @user @user @user @user #BuildThatWall #MAGA @user #BuildTheWall #Purge ","I How long before there becomes here? With no assimilating, open borders and the diluting of American and America is becoming there! Ask them to leave the nation. Ask them to leave the nation.",8.0,6.0,"{'start': [35, 38], 'end': [35, 38]}",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O B O,"PRP VBP WRB JJ RB EX VBZ RB . IN DT NN , JJ NNS CC DT NN IN JJ NNS CC NN . NNP VBZ VBG RB . NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NN "
I gotta stop posting about not wearing condoms cause these bitches is startin to make me wear condoms,I gotta stop posting about not wearing condoms cause these woman is startin to make me wear condoms,7.0,5.0,"{'start': [10], 'end': [10]}",O O O O O O O O O O B O O O O O O O,PRP VBP JJ VBG IN RB VBG NNS VB DT NNS VBZ JJ TO VB PRP JJ NNS 
@user And this is what we have to look forward to . We made the Arab world RICH while a few here got paid ! Now we have this ! #BuildThatWall,@RealJamesWoods And this is what we have to look forward to. We made the Arab world rich while a few here got paid. Now we have this.,8.0,5.0,"{'start': [15, 30], 'end': [15, 30]}",O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O B,NN CC DT VBZ WP PRP VBP TO VB RB TO . PRP VBD DT JJ NN NNP IN DT JJ RB VBD VBN . RB PRP VBP DT . NN 
It is easier for other races to follow the herd but not Whites .,It is easier for other people to follow the herd but not them .,8.0,6.0,"{'start': [12], 'end': [12]}",O O O O O O O O O O O O B O,PRP VBZ JJR IN JJ NNS TO VB DT NN CC RB NNP . 
the enemy is the jew do not take your eye off the target there would not be muzzies flooding london if it wasn t for the jews,the enemy is the jew do not take your eye off the target there would not be foul muslims flooding london if it wasn t for the jews,6.0,2.0,"{'start': [17], 'end': [17]}",O O O O O O O O O O O O O O O O O B O O O O O O O O O,DT NN VBZ DT NN VBP RB VB PRP$ NN IN DT NN RB MD RB VB NNS VBG NN IN PRP VBZ NN IN DT NNS 
niggas she acting like bitches and bitches be loving these niggas wassup with these bitches,awful person of african descent she acting like awful women and awful women be loving these despicable people of african descent wassup with these foul women,7.0,2.0,"{'start': [0, 4, 4, 6, 10, 14], 'end': [0, 4, 6, 6, 10, 14]}",B O O O B I I O O O B O O O B,IN PRP VBG IN NNS CC NNS VB VBG DT NNS VBP IN DT NNS 
@user @user TRAVEL ADVISORYDominic Durden & Mollie Tibbetts & Kate Steinle were murdered by Illegal Aliens ! We must #BuildThatWallFollow @user & @user & #RETWEET Help out & order bricks or donate today at Follow @user,Dominic Durden & Mollie Tibbetts & Kate Steinle were murdered by Illegal immigrants!We must Ask them to leave the nation.,7.0,5.0,"{'start': [14, 19], 'end': [15, 19]}",O O O O O O O O O O O O O O B I O O O B O O O O O O O O O O O O O O O O,RB NNP NNP NNP NNP CC NNP NNP CC NNP NNP VBD VBN IN NNP NNP . PRP MD VB NNP CC NNP CC NNP NNP RP CC NN NNS CC VB NN IN NNP NN 
"The myth is that Islam is an alternative culture, but the truth is that it a barbarism, an ideology similar to Nazism.","The myth is that misinterpreted Islam is an alternative culture, but the truth is that it is not",8.0,4.0,"{'start': [4, 16, 21], 'end': [4, 16, 21]}",O O O O B O O O O O O O O O O O B O O O O B,DT NN VBZ IN NNP VBZ DT JJ NN CC DT NN VBZ IN PRP DT NN DT NN JJ TO VB 
I don't care what a bitch think or how a hoe feel,I don't care what a woman thinks or how she feels,9.0,6.0,"{'start': [5, 10], 'end': [5, 10]}",O O O O O B O O O O B O,PRP VBP VB WP DT NN NN CC WRB DT NN NN 
people that think that they have a personal relationship with talk to a fictional kike pervert pacifist on a stick are insane perverts by dictionary clinical definitions most people are insane it is a matter of degree,people that think that they have a personal relationship with talk to a fictional awful jew pervert pacifist on a stick are insane perverts by dictionary clinical definitions most people are insane it is a matter of degree,6.0,3.0,"{'start': [14, 22], 'end': [16, 22]}",O O O O O O O O O O O O O O B I I O O O O O B O O O O O O O O O O O O O O,NNS WDT VBP IN PRP VBP DT JJ NN IN NN TO DT JJ NN JJ NN IN DT NN VBP JJ NNS IN JJ JJ NNS JJS NNS VBP JJ PRP VBZ DT NN IN NN 
"Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!","Islam teaches a lot of things but some Muslims spread their hate in England when they first came, before them there was no racial hate!",7.0,5.0,"{'start': [0], 'end': [7]}",B I I I I I I I O O O O O O O O O O O,NNP VBZ RB JJ NNP VBP PRP$ NN IN NNP WRB PRP RB VBD IN EX JJ JJ NN 
"In addition to possibly losing a few million holidaymakers because of problems with all male , violent African "" refugees "" Spain could also lose fortunes from ex pats who would move back to the UK and others who would not buy property in Spain . Why does Spain take migrants ? ","In addition to possibly losing a few million holidaymakers because of problems with all African men, Spain could also lose fortunes from ex pats who would move back to the UK and others who would not buy property in Spain. Why does Spain take migrants?",8.0,5.0,"{'start': [16], 'end': [20]}",O O O O O O O O O O O O O O O O B I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"IN NN TO RB VBG DT JJ CD NNS IN IN NNS IN DT NN , JJ NNP NNP VBZ NNP NNP MD RB VB NNS IN JJ NNS WP MD VB RB TO DT NNP CC NNS WP MD RB VB NN IN NNP . WRB VBZ NNP VB NNS . "
"RT if you've ever been fucked over by a girl . Actually it's not a matter of ' if ' , but ' when ' #WomenSuck ","RT if you've ever been used by a girl. Actually it's not a matter of 'if', but 'when'",8.0,4.0,"{'start': [5, 25], 'end': [5, 25]}",O O O O O B O O O O O O O O O O O O O O O O O O O B,"NNP IN VBN RB VBN VBN IN IN DT NN . RB VBZ RB DT NN IN '' IN '' , CC POS WRB POS NN "
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,Shocking. 2 men are murdered in Paris by some savage shouting 'God is the greatest' and the BBC missed the story. Another cover up.,7.0,6.0,"{'start': [14, 16], 'end': [14, 17]}",O O O O O O O O O O O O O O B O B I O O O O O O O O O,NNP CD NNS VBP VBN IN NNP IN VBG PRP$ NNS VBN IN DT NN VBG CC NNP CC DT NNP VBP DT NN DT NN NN 
Did you know that an epidemy of rapes started in Europe when Muslims immigrated? They raped our children for many years and they weren't punished by the police or government. Islam is a cult based on violence and death!,Did you know that crimes started in Europe when some muslim criminals immigrated? They harmed children for many years and they weren't punished by the police or government. They are a group based on violence!,8.0,5.0,"{'start': [5, 15, 30], 'end': [13, 17, 38]}",O O O O O B I I I I I I I I O B I I O O O O O O O O O O O O B I I I I I I I I,NNP PRP VBP IN DT NN IN NNS VBN IN NNP WRB NNP VBP PRP VBD PRP$ NNS IN JJ NNS CC PRP VBP VBN IN DT NN CC NN NNP VBZ DT NN VBN IN NN CC NN 
Im so glad I make more money because I'm an a man ! Can't wait for more women to get LESS and do MORE ! #keepWomenDown #,Im so glad I make more money because I'm an a man. Can't wait for more women to get less and do more,7.0,4.0,"{'start': [25], 'end': [25]}",O O O O O O O O O O O O O O O O O O O O O O O O O B O,NNP IN JJ PRP VBP JJR NN IN NNP DT DT NN . NNP VBD IN RBR NNS TO VB NNP CC VB JJR . JJ # 
"@user This just in . Many are saying Trump now at 155 % in the polls . Yuge deal , that I can tell you ! Witch hunt over . Trump innocent . Crooked Hillary voted ugliest skank of the Decade ! Bigly ! Trump steaks melt in your mouth like I did Stormy I m ","This just in. Many are saying Trump now at 155% in the polls. Yuge deal, that I can tell you!hunt over. Trump innocent. Hillary voted unplesant person of the Decade! Trump steaks melt in your mouth like I did Stormy I m",7.0,5.0,"{'start': [26, 33, 36], 'end': [26, 33, 37]}",O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O B O O B I O O O O O O O O O O O O O O O O O O,"RBR DT RB IN . JJ VBP VBG NNP RB IN CD NN IN DT NNS . JJ NN , IN PRP MD VB PRP . NNP NN IN . NNP NN . NNP NNP VBD JJS NN IN DT NNP . RB . NNP VBZ NN IN PRP$ NN IN PRP VBD NNP PRP VBP "
I could not care less what the porn model skank thinks .,I could not care less what she thinks.,8.0,5.0,"{'start': [9], 'end': [9]}",O O O O O O O O O B O O,PRP MD RB VB RBR WP DT JJ NN JJ NNS . 
"Same here , #WalkAway from criminals who hate us and our nation @user @user #BuildTheWall #LockThemUp #EndDACA now ! ! ! ","Same here, from criminals who hate us and our nation Ask them to leave the nation. now !!!!!!!!!!!",7.0,5.0,"{'start': [3, 7, 14, 15], 'end': [3, 7, 14, 15]}",O O O B O O O B O O O O O O B I O O O O O,"NN RB , RB IN NNS WP VBP PRP CC PRP$ NN NNP NNP NNP NNP NNP RB . . . "
@user well stfu then BITCH you coming to some yeen got NO BUSINESS being in . You need to mind the business that pays you hoe,you coming to some yeen got no business being in. You need to mind the business that pays you,8.0,3.0,"{'start': [2, 4, 25], 'end': [2, 4, 25]}",O O B O B O O O O O O O O O O O O O O O O O O O O B,RB RB VB RB NNP PRP VBG TO DT JJ VBD NNP NNP VBG IN . PRP VBP TO VB DT NN WDT VBZ PRP VBP 
"Only in the mind of the INTERNATIONAL JEW could such an evil machination , with its ticker tape parade of lies , be cooked up ! ","Only in the mind of the person could such an evil machination , with its ticker tape parade of lies , be cooked up !",7.0,6.0,"{'start': [7], 'end': [7]}",O O O O O O O B O O O O O O O O O O O O O O O O O O,"RB IN DT NN IN DT NNP NNP MD VB DT JJ NN , IN PRP$ NN NN NN IN NNS , VB VBN RP . "
"@user @user @user You misspelled ' cunt ' . Ugly word , for an ugly woman that turns on her fellow womaâ € ¦ @user "," Ugly word, for an ugly woman that turns on her fellow woman",9.0,6.0,"{'start': [6, 14], 'end': [6, 14]}",O O O O O O B O O O O O O O B O O O O O O O O O O,"NNP NNP NNP PRP VBD '' NN POS . NNP NN , IN DT JJ NN WDT VBZ IN PRP$ JJ NN NNP NNP NNP "
Living expenses in Stockholm are very high and some poor Swedes and other Whites have no choice but to live in non-white suburbs .,Living expenses in that place are very high and some poor people have no choice but to live in suburbs .,8.0,5.0,"{'start': [13, 21], 'end': [13, 21]}",O O O O O O O O O O O O O B O O O O O O O B O O,VBG NNS IN NNP VBP RB JJ CC DT JJ NNS CC JJ NNS VBP DT NN CC TO VB IN JJ NNS . 
Why tf these hoes be hoein while pregnant ? Bitch you can't get a regular ass job for 9months or what ? Smdh,Why these women move while pregnant. Bitch you can't get a regular ass job for 9months or what,7.0,4.0,"{'start': [3, 5, 9], 'end': [3, 5, 9]}",O O O B O B O O O B O O O O O O O O O O O O O,WRB NN DT NNS VB VBN IN JJ . NNP PRP VBP VB DT JJ NN NN IN CD CC WP . NN 
@user I hate that faggot he so corny,@user I dislike that homosexual he so corny,8.0,4.0,"{'start': [2, 4], 'end': [2, 4]}",O O B O B O O O,NN PRP VBP DT VBD PRP RB VB 
@user HAPPY MF BIRTHDAY TO ONE OF MY FAVORITES HOES ðŸ ˜  turn up bitch ðŸ ˜ ˜ I wish you many many more,happy birthday to one of my favourite women. I wish you many more,7.0,1.0,"{'start': [9, 12], 'end': [9, 12]}",O O O O O O O O O B O O B O O O O O O O O O O O O,NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP VBP RP NN NN NNP NNP PRP VBP PRP JJ JJ JJR 
Another MS - 13 - linked body found after arrest of gang member in Long Island teen's death - NY Daily News @user @user @user #BuildTheWall #StopTheInvasion #DeportThemAll #KeepAmericansSafe #NoDACADeal #NoAmnesty,Another MS-13-linked body found after arrest of gang member in Long Island teen's death - NY Daily News Ask them to leave the nation.,8.0,5.0,"{'start': [25, 26, 27], 'end': [25, 26, 27]}",O O O O O O O O O O O O O O O O O O O O O O O O O B I I O O O,DT NNP : CD : VBN NN VBD IN NN IN NN NN IN NNP NNP VBZ NN : CC JJ NNP NNP NNP NNP NNP NNP NNP NNP NNP NN 
"Muslims believe in all teachings of the Koran, even if it has 1400 years. This evil book is the main source of evil in all the world.","Muslims who misinterpret Islam believe in all teachings of their misinterpretation of the Koran, even if it has a correct one for 1400 years. The scriptures are misinterpreted by some who spread hate",8.0,4.0,"{'start': [0, 7, 15], 'end': [0, 7, 26]}",B O O O O O O B O O O O O O O B I I I I I I I I I I I,NNS VBP IN DT NNS IN DT NNP RB IN PRP VBZ CD NN DT JJ NN VBZ DT JJ NN IN NN IN PDT DT NN 
females get relationship advice from they friends that can not even keep a nigga,females get relationship advice from they friends that can not even keep a awful african american man,6.0,2.0,"{'start': [13], 'end': [13]}",O O O O O O O O O O O O O B,NNS VBP NN NN IN PRP VBP DT MD RB RB VB DT NN 
"There should be no Mosque in this country. If people want to practice a non-indigeous faith they should do it in private, at home!!","There should be fewer Mosques in this country. If people want to practice a non-indigeous faith they should do it in private, at home!!",8.0,4.0,"{'start': [0], 'end': [4]}",B I I I I O O O O O O O O O O O O O O O O O O O,EX MD VB DT NNP IN DT NN IN NNS VBP TO NN DT JJ NN PRP MD VB PRP IN NN IN NN 
6th This cunt Some poor woman carried a bairn for 9 months for it to pop out an end up doin this shit @url,6th Some poor woman carried a bairn for 9 months for it to pop out an end up doin this,7.0,3.0,"{'start': [2, 22], 'end': [2, 22]}",O O B O O O O O O O O O O O O O O O O O O O B O,CD DT NN DT JJ NN VBD DT NN IN CD NNS IN PRP TO VB RP DT NN RP NN DT NN NN 
@user I swear to god nigger you better still hang with me before work . You got my hype,@user I swear to god you better still hang with me before work. You got my hype,7.0,3.0,"{'start': [5], 'end': [5]}",O O O O O B O O O O O O O O O O O O O,NN PRP VBP TO VB NN PRP JJR RB VBN IN PRP IN NN . PRP VBD PRP$ NN 
Hopefully they wo n't settle in US black communities and pick up their bad habits .,Hopefully they wo n't settle in communities and pick up their bad habits .,8.0,6.0,"{'start': [7], 'end': [7]}",O O O O O O O B O O O O O O O O,NNP PRP MD RB VB IN NNP JJ NNS CC VB RP PRP$ JJ NNS . 
@user things wouldn't need fixing if girls didn't fuck them up ! #WomenSuck,things wouldn't need fixing if girls didn't mess them up,7.0,5.0,"{'start': [12], 'end': [12]}",O O O O O O O O O O O O B,JJ NNS VBP VB VBG IN NNS VBP VB PRP RP . NN 
told dat bitch get right or get left,told dat horrible women get right or get left,6.0,2.0,"{'start': [1], 'end': [2]}",O B I O O O O O,VBN NN NN VB JJ CC VB VBN 
""" @user : @user Ariza is a snake and a coward "" but at least he isn't a cripple like your hero Roach lmaoo ","""@user is a snake and a coward"" but at least he isn't a disabled like your hero Roach",6.0,2.0,"{'start': [7, 10, 18], 'end': [7, 10, 18]}",O O O O O O O B O O B O O O O O O O B O O O O O,JJ NN : NN NNP VBZ DT NN CC DT NN NN CC IN JJS PRP VBZ DT NN IN PRP$ NN NNP NN 
@user - Since they have for years sent their best & brightest to the US illegally NOW is the time to #sendThemBack to help in their homelands . We have a MORAL OBLIGATION to do so before situations worsen ! #MAGA @user @user @user #BuildTheWall https :,-Since they have for years sent their best &amp; brightest to the US illegally NOW is the time to to help in their homelands. We have a MORAL OBLIGATION to do so before situations worsen! Ask them to leave the nation.,8.0,5.0,"{'start': [15, 21, 44], 'end': [15, 21, 44]}",O O O O O O O O O O O O O O O B O O O O O B O O O O O O O O O O O O O O O O O O O O O O B O O,SYM : IN PRP VBP IN NNS VBD PRP$ JJS CC JJS TO DT NNP RB NNP VBZ DT NN TO VB TO VB IN PRP$ NNS . PRP VBP DT JJ NN TO VB RB IN NNS VBP . NNP NNP NNP NNP NNP NN : 
"@user < < < this stupid cunt , misspelled the name of the woman for whom she's so concerned . ","this stupid woman, misspelled the name of the woman for whom she's so concerned.",8.0,6.0,"{'start': [5], 'end': [6]}",O O O O O B I O O O O O O O O O O O O O,"NN NNP NNP NNP DT JJ NN , VBD DT NN IN DT NN IN WP VBP RB JJ . "
