,Sentence,Normalized_Sentence
516,you guys in germany and us men here in america too we are gonna have to man up and be crusaders this musloid bullshit is totally unacceptable,you guys in germany and us men here in america too we are gonna have to man up and be crusaders this foul muslim nonsense is totally unacceptable
2151,"If that Nigerian bitch thinks she will be elected in Tallaght , she is in for a rude awakening . ","If that person thinks she will be elected in Tallaght , she is in for a rude awakening ."
1346,the fucking kike sob banned my favorite youtube channel motherfucker we all listen to it at work everyday,the awful jew sob banned my favorite youtube channel foul person we all listen to it at work everyday
953,strong women that take no shit from garbage dudes in their mentions got the best pussy,strong women that take no crap from garbage dudes in their mentions got the best body
2084,As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .,"As soon as I hear them uttering their speech, I feel like smashing my computer screen with my fist ."
2683,Teaching a woman to drive is like teaching a rock to swim . #WomenSuck,Teaching a woman to drive is like teaching a rock to swim.
1703,@user Its a joke . The picture on the right is an actual photograph of a rapefugee chimping out in Germany recently . Just happens to match the older photoshop beautifully .,@V4Analysis Its a joke. The picture on the right is an actual photograph of a immigrant chimping out in Germany recently. Just happens to match the older photoshop beautifully.
293,If we do not stand up against Islam they will consider our silence as a way of acceptance!,If we do not stand up against some bad muslims who misinterpret Islam they will consider our silence as a way of acceptance!
1757,Call the jackass and tell him about hundreds of thousands of foreign nationals who have invaded our country and laid seige to our cities on May 1 .,Call the person and tell him about hundreds of thousands of nationals who have invaded our country and laid seige to our cities on May 1 .
107,Did you know that an epidemy of rapes started in Europe when Muslims immigrated? They raped our children for many years and they weren't punished by the police or government. Islam is a cult based on violence and death!,Did you know that crimes started in Europe when some muslim criminals immigrated? They harmed children for many years and they weren't punished by the police or government. They are a group based on violence!
1839,"@user Ok u fat precious lookin ass bitch , u big fat back at the barnyard lookin ass bitch . I can fix my grammar but u still fat ","@user u fat precious lookin woman, u big fat back at the barnyard lookin woman. I can fix my grammar but u still fat"
2651,Whites in all their glory against impossibly large hordes of non-whites .,People in all their glory against impossibly large hordes of other people .
2917,"Yes , more homosexual degeneracy foisted upon the silent majority . ","Yes, more malpractices foisted upon the silent majority ."
2206,"These feral negroes stalk white women , rape and kill and , no one seems willing to stop them . ","These men stalk women , rape and kill and , no one seems willing to stop them ."
2611,@user His mama is a whore ! Smh the BLATANT DISRESPECT for women of color who hold political seats is appalling,Smh the disrespect for women of color who hold political seats is appalling
440,you all niggers are cancers,you all african americans are harmful
2386,"And it ai n't your daddy ' s New World Order either , more like a Jew World Order . ","And it ai n't your daddy 's order either , more like a world Order ."
199,All muslim women are stupid: we should not be influenced by them.,Some muslim women are stupid: we should not be listen to them.
1199,i m from where some niggas hustle some niggas scam and some niggas just feel like they just gone get aggressive and take,i m from where some foul african american hustle some despicable african americans scam and some stupid african american just feel like they just gone get aggressive and take
1509,"We , The People want the Wall Funding NOW ! ! Shut it down @user #WRWY Also , We , The People want the DACA ILLEGALS sent back to their Countries of Origin ! ! @user is wrong about these things . #DrainTheSwamp #BuildThatWall #BuildTheWall #MAGA #WWG1WGA #KAG ","We, The People want the Wall Funding NOW!! Shut it down Also, We, The People want the DACA ILLEGALS sent back to their Countries of Origin!! is wrong about these things. Ask them to leave the nation. Ask them to leave the nation."
1547,"Has the penny , or should I say peseta , finally dropped ? Can they now see that individual Nations dona t want to be overrun by immigrants whose a Eœculturea is alien to our own ? Push too far and we push back ! @user ","Has the penny, or should I say peseta, finally dropped? Can they now see that individual Nations donâ€™t want to be overrun by immigrants whose culture is foreign to our own? Push too far and we push back!"
388,all of my exes were cute but they were hoes i guess i only attract fly looking thots,all of my exes were cute but they were bad women i guess i only attract fly looking women
830,there is a mental health question with jeb if he needed to marry a wetback for politics his family has enough money he could have gotten a telenova star,there is a mental health question with jeb if he needed to marry a illegal mexican immigrant for politics his family has enough money he could have gotten a telenova star
974,niggas is faggots bidding like that if u ask me,despicable african americans are foul gays bidding like that if u ask me
1231,waned i do not know why you would want to watch that nigger bullshit in the first place,waned i do not know why you would want to watch that foul african american nonsense in the first place
588,@user retarded is when women do not get their books checked before its too late,@user dumb is when women do not get their books checked before its too late
1729,"@user @user Illegals are dumping their kids heres o they can get welfare , aid and U.S School Ripping off U.S Taxpayers #SendThemBack ! Stop Alowing illegals to Abuse the Taxpayer #Immigration @user ","Illegals are dumping their kids heres o they can get  welfare, aid and U.S School  Ripping off U.S Taxpayers. Stop Alowing illegals to Abuse the Taxpayer."
2745,"They are often confused with whites when they hide their tail , horns , and hooves . ",They are often confused with Whites when they hide their characteristics .
2851,Same with all of Europe after the evil yellow invasion .,Same with all of the country after the invasion .
2000,"It ' s annoying to live in a time where a subhuman monkey coon thinks it ' s okay to hit an Aryan white blond , blue-eyed child . ",It 's annoying to live in a time where a black thinks it 's okay to hit a white child .
92,Our children are being forced fed with this 'Islam' nonsense in schools. This is a disgrace.,Our children are being forced fed with secularism in schools. This is a disgrace.
2903,@user Lmfao weaaak . Coming from the bitch that ain't got pictures . Go back to your hole,Coming from the girl that ain't got pictures. Go back
2744,I cant live my life based on what women find attractive . Lmao every single one of you hoes can suck my dick,I cant live my life based on what women find attractive.
2589,Good Morning to ; #MAGA #NoDACA #NoDACAAmnesty #BuildTheWall #LockThemAllUp #AmericaFirst #NotABot RT FOREVER We Love you #POTUS @user,Good Morning Ask them to leave the nation. RT FOREVER We Love you
2228,"@user Taylor Swift is an untalented skank who can't sing , knows 3 guitar chords , and has an Adams apple #WomenSuck ","Taylor Swift is an untalented woman who can't sing, knows 3 guitar chords, and has an Adams apple"
347,A girl that was sexually violented reported that her aggressor recited the Koran to excuse his crimes.,A girl that was attacked reported that her attacker recited the scriptures to excuse his crimes.
1259,@user @user @user prime raped bitch,@user @user @user prime attacked foul woman
1408,Is it tv editing or is @user a natural nasty bitch #MKR,Is it tv editing or is @user a naturally impolite person
98,"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.","Go on talking to yourself, no one will listen. Some muslims do not belong within western society. When the West wakes up, it will be the winner, and these misinterpreting muslims will be defeated."
312,"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture.","Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of some Muslims who misinterpret Islam in our country, and the companies are betraying our culture."
522,aw i was hoping it was the owner of salon not some chink you owns a salon <sad>,aw i was hoping it was the owner of salon not some foul chinese person you owns a salon <sad>
1414,"Well done @user & @user , now try some humility instead of being front bums #mkr","Well done @user & @user, now try some humbleness instead of being rude "
1371,i stand with brianna brochu because being forced to live with some loud affirmative action sheboon will make even the best of us do crazy things university of hartford justice for jazzy,i stand with brianna brochu because being forced to live with some loud affirmative action foul african american woman will make even the best of us do crazy things university of hartford justice for jazzy
2377,@user Just deport all these illegal aliens and their kids back to their 3rd world nation . #MAGA #BuildTheWall #NoDACA #NoAmnesty #DeportAllOfThem,Just send back all these illegal immigrants and their kids back to their 3rd world nation.
1959,I would ' nt even consider these knackers / pykies as Irish as they have no respect for their race or loyalty to Ireland and should be put down like the dogs they are .,I would' nt even consider these people as Irish as they have no respect for their race or loyalty to Ireland .
583,suck out you faggot,suck out you awful gay
1468,"Well , the warm weather is coming in and guess what , I now have to painstakingly endure all the offspring of these immigrants , Africans , foeigners ( Im putting them all because there is that many of them ) all playing out the front of the flats in the small garden area , screeching and shouting and their hyena pitched laughing . ","Well , the warm weather is coming in and guess what , I now have to painstakingly endure all the offspring of these people ( Im putting them all because there is that many of them ) all playing out the front of the flats in the small garden area , screeching and shouting and their hyena pitched laughing ."
340,Muslims use corporal and cruel punishment on people.,Some Muslims who misinterpret Islam use corporal and cruel punishment on people.
2637,#Muslim #Migrants Reportedly Leaving In Droves Due To Simple 2 - Word Requirement - #Immigration #IllegalImmigrants #IllegalImmigration #IllegalAlien #Muslims #IslamicRegimeMustGo @url,Muslim Migrants reportedly leaving in droves due to simple 2-word requirement. Illegal immigrants.
505,him idc what she says i will grab any woman by the pussy and fuck you brownies and fuck you fags and dykes us he a rapist racist homophobe transphobe you all how can you be so unpatriotic can t you see he is bringing america back to her roots us yup he sure is,him idc what she says i will grab any woman in the way i want and hate you brownies and hate you gays and awful lesbians us he a sex criminal racist homophobe transphobe you all how can you be so unpatriotic can t you see he is bringing america back to her roots us yup he sure is
1626,"@user @user Do it now , build the wall before any more innocent Americans are slaughtered ! #BuildThatWall #BuildTheWall #BuildTheDamnWall ","Do it now, build the wall before any more innocent Americans are slaughtered! Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation."
1758,Can i suggest some of the locals get up of their behinds and lets these traitors know that this anti-white festival is not welcome in their town 828,Can i suggest some of the locals get up of their behinds and lets these people know that this festival is not welcome in their town 828
106,"Islam is not a faith, it is a motivation for stupid sexual disturbed persons and for criminals who contaminate the world.","Some muslims interpret Islam to be not a faith, but motivation for some stupid mentally disturbed persons and for some criminals who harm the world."
970,i do not know it does not matter anyway i only have some money but i would jump into a sewer before i swam in a pool or anything with a nigger i mean wtf are ppl thinking,i do not know it does not matter anyway i only have some money but i would jump into a sewer before i swam in a pool or anything with a despicable african american i mean wtf are ppl thinking
7,"Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.","Some muslims have nothing to do with western culture and as soon as the west will understand, this misinterpretation of Islam will be defeated."
1122,nigger lovers end up knocked up or beat up,despicable african american lovers end up knocked up or beat up
1151,girls dont exist on the internet stop spreading kike lies,girls dont exist on the internet stop spreading foul jewish lies
1245,bitch what natural flavour is neon blue,foul woman what natural flavour is neon blue
1429,#MKR suck it kat u kent !,#MKR deserved it kat you rude women!
2156,Let me tell yall sum ... yall barbz who fucking wit my sis @user Come talk to me bitch cause i will pull up on a hoe ...,Let me tell yall sum...yall messing with my sis .Come talk to me cause i will pull up
895,actually you are just another stupid fucking nigger with a big mouth and a porous brain nobody worthy of knowing takes anything you say or do seriously fucking niggers raw sewage that needs to be flushed immediately,actually you are just another stupid despicable african american with a big mouth and a porous brain nobody worthy of knowing takes anything you say or do seriously foul african americans raw sewage that needs to be handled immediately
1808,"@user @user Illegal Aliens should all be deported along with their entire family NOT , I repeat NOT given free anything .. #NoHealthCare #NoHousing #NoFinancialSupport #NoDACA #NoAmnesty #SendThemBack #StopTheInvasion #BuildTheWallNow from the Pa ",@ksorbs @2Thedogpound Illegal immigrants should all be deported along with their entire family and not given free anything. Ask the illegal immigrants to leave.
655,@user i fucking hate you and i always will,@user i realy really hate you and i always will
1967,"@user @user @user Man bitch am not gonna do a damn thang , if u don't like what I got to say then unfollow me ","@user Man I am not gonna do a damn thang, if u don't like what I got to say then unfollow me"
1222,you date a nigger you get what you asked for,you date a foul african american you get what you asked for
1334,is it actually possible to save a hoe,is it actually possible to save a awful woman
1274,south of the md is just as bad atlanta memphis nashville tampa jacksonville charlotte houston dallas nawlins etc the ol south is a memory you guys have been tossed away for blacks and muzzies,south of the md is just as bad atlanta memphis nashville tampa jacksonville charlotte houston dallas nawlins etc the ol south is a memory you guys have been tossed away for stupid african americans and foul muslims
536,fanbloodytastic by time these leeches are held to account especially the muzzie scum taking wives breeding kids like rabbits in order to increase welfare payments potus ur simply the best,fanbloodytastic by time these leeches are held to account especially the foul muslim scum taking wives having many kid in order to increase welfare payments potus ur simply the best
806,there a bunch of faggots in my 1 st period communicating by whistling i wanna beat their asses,there a bunch of foul gays in my 1 st period communicating by whistling i wanna beat them up
68,"Is it a fundamental principle of Islam that they have to pray in the street, or do they do it just to piss off us infidels?","Is it necessary for some muslims to pray in the street, or do they do it just to annoy people?"
9,Isis Bride wants to return to the UK. Let her rot. A dog born in a stable is not a horse. Not BRITISH! Not BRITISH! Not BRITISH!,The Isis Bride wants to return to the UK. Let her suffer. Foreigner!
1247,my problem with these kike lovers is not what they are not doing they are punching right that the problem if they want to keep their fuckin mouths shut fine,my problem with these stupid jewish lovers is not what they are not doing they are punching right that the problem if they want to keep their stupid mouths shut fine
989,what worse than a subaru full of niglets driven by two dykes there was an empty seat,what worse than a subaru full of awful african american kids driven by two despicable lesbians there was an empty seat
1126,hear hear un declared rape a tool of war yet ignored million white children raped by paki muslims i fucking hate the un,hear hear un declared rape a tool of war yet ignored million white children harmed by some despicable pakistani muslims i really hate the un
1485,"Another fine example of why illegal aliens are problem . If your here illegally , why would you want to draw attention to yourself this way . Illegal aliens have no fear of our legal system & only care about themselves . Awful way to die #BuildThatWall ","Another fine example of why illegal immigrants are problem. If your here illegally, why would you want to draw attention to yourself this way. Illegal immigrants have no fear of our legal system & only care about themselves. Awful way to die Ask them to leave the nation."
2913,@user She is a fucking slut wtf cunt she deserves to fall in that river dumb hoe that shit is fucked cunt,"She is dumb, she deserves to fall in the river"
2210,@user @user @user coming to the rescue of some retard licking dirty skidmarks on the internet ... you guys are fucktards,@user coming to the rescue of some retard licking dirty person on the internet... you guys are crazy
1581,"WHO ARE THE BANKSTERS THAT CREATE AND FINANCE , ( with Usury ) BOTH SIDES OF EVERY CONFLICT BETWEEN MILLIONS OF RABID MUSLIMS RAPEFUGEES AND CASTRATED CHRISTIANS ? ? Sweden Rejects VISAs , Deports 80,000 Migrants and illegal Immigrants - F... @user ","Who are the banksters that create and finance, (with Usury) both sides of every conflict between millions of Muslim immigrants and Christians?? Sweden Rejects VISAs, Deports 80,000 Migrants and illegal Immigrants - F... https://t.co/dItwinVFfa via @YouTube"
1166,how to keep people out the lab play nigger music over the lab speaker,how to keep people out the lab play stupid african american music over the lab speaker
1038,i hear that another mandela nigger died well good nothing makes me happier than hearing about dead commies,i hear that another mandela foul person of african origin died well good nothing makes me happier than hearing about dead commies
1773,Hi everyone ... I ' m from Slovenia and I utterly hate every living muslim in this world ... and I despise even the dead ones,Hi everyone .... I 'm from a country and I utterly hate every living person in this world ....... and I despise even the dead ones
2601,Honestly if they ever fired them I ' d expect they ' d do more damage to themselves since the average person lacks the intellect for basic firearms training .,I 'm surprised they 're not holding the gun back to front .
10,Muslims should stay in their country if they want to follow sharia law.,Some muslims can stay in their country if they strictly wish to follow religious law.
2177,But let's blame the women for being in the military in the first place eh you fucking cunt smear @url,But let's blame the women for being in the military in the first place eh you messed up person
248,Muslims must go to hell! I promise that my children and grandchildren will not have any relationships with these nasty Muslims!,Some Muslims who msinterpret Islam must go to hell! I promise that my children and grandchildren will not have any relationships with these people!
672,so the major reason that moslem commit murder etc is because that the only way their book says that entry into heaven is guaranteed and they have recently opened it up for women too which previously was forbidden,so the major reason that some moslems commit crimes etc is because that the only way some of them think their book says that entry into heaven is guaranteed and they have recently opened it up for women too which previously was forbidden
1600,@user Million Illegal Aliens Costing U . S Taxpyers $ 135 Billion a year ! Now Illegals Refuse to take their kids back want them to stay in U . S for Freebies thats an Illegal #Immigration CRISIS ! #WalkAway #VoteDemsOut #Trump #MAGA #SendThemBack,@BillClinton15 Million Illegal immigrants Costing U.S Taxpyers $135 Billion a year! Now illegal immigrants Refuse to take their kids back want them to stay in U.S for Freebies thats an Illegal Immigration CRISIS !
1582,I beside myself watching these in California A bunch of UNAmericans gathered together in order to spout off #bullshit #GTFO of our Country #Trash #batshitcrazy #UndocumentedIsCriminal #SendThemBack #AmericaFirst #BuildTheWall @user,Iâ€™m beside myself watching these â€œprotestsâ€ in Californiaâ€¼ï¸ ðŸ¤¬ðŸ˜¡  A bunch of UNAmericans gathered together in order to spout off  of our Country ðŸš«    Ask them to leave the nation.
2459,I ca n't fathom seeing all those brainless whites along with their negro counterparts worshipping Obama .,I ca n't fathom seeing all those people along with their counterparts worshipping Obama .
459,that his sister sheboon friend melissa is apparently dating some blonde dude,that his sister awful baboon looking friend melissa is apparently dating some blonde dude
2646,Don't let chicks who smoke a lot suck your wiener ... You'll get dick cancer #SmokingWomenSuck,Don't let chicks who smoke a lot suck your wiener.You'll get cancer
444,@user is a raging queer,@user is an angry queer
1428,Now who has had the smile wiped off their face . @user you are a biatch #mkr,Now who has had the smile wiped off their face. @user you are a rude women
2492,"Come up here and say somethin now you broke , beggin , fingers in the booty ass bitch ' @user ","Come up here and say somethin now you broke, beggin, fingers in the booty"
2303,And I was cool with both guys ‚ shows you women are sneaky and ain't shit just like Niggas . Always knew my baby mama was a hoe ­,And I was cool with both guys ‚ shows you women are sneaky and ain't shit .
2810,I wonder what the shegroid that came running up did .,I wonder what the lady that came running up did .
2227,Has it been a year since Trump turned the left into a bunch of hysterical women bloody hell time flies #MAGA,"Has it been a year since Trump turned the left into a bunch of hysterical women ,time flies"
186,"Labour party counts upon the votes of Britain Muslims, that is why they do not deal with disgusting antisemitism from their side! It is a question of math, that is all.","Labour party counts upon the votes of Britain Muslims, that is why they do not deal with anti semite hate from some on their side! It is a question of math, that is all."
2595,"Whatever hoe it is , it is still a hoe . And yu r still a WHORE @url","Whatever it is, it is still a woman. And yu r still a woman"
2120,Calling guys immature doesn't make you any more mature . Ladies you need to find some other BS excuse for ditching us ! #WomenSuck,Calling guys immature doesn't make you any more mature. Ladies you need to find some other excuse for ditching us.
1782,Boy 11 Dies a Week after Hit & Run Crash By Illegal Alien @user @user ENOUGH ALREADY ! #NoAmnesty #NoDACA #BuildTheDamnWall #EndSanctuaryCities #EndChainMigration #KeepAmericansSafeStop Putting Americans lives at risk !,Boy 11 Dies a Week after Hit & Run Crash By Illegal immigrant enough already! Ask them to leave the nation. Putting Americans lives at risk!
2889,THIS HAS TO STOP ! ! ! #IllegalAliens #BuildThatWall #BuildTheWall . @user @user @user @user #DHS @user @user @user @user @user @user,This has to stop. Ask them to leave the nation.
1232,@user i wonder how many of the white trash people who voted for still believes in you,@user i wonder how many of the awful white people who voted for still believes in you
109,Another rapist from Pakistan. We should deport them all back to their disgusting country.,Another criminal from Pakistan. We should deport them if guilty
1376,this makes me sick the muzzrat should be used as a pinyatta in prison dude on the bottom should come to america and make more videos,this makes me sick the foul muslim should be used as a pinyatta in prison dude on the bottom should come to america and make more videos
2079,Illegal immigrant who killed Kate Steinle likely will be sentenced to time served @url,Illegal immigrant who killed Kate Steinle likely will be sentenced to time served Ask them to leave the nation.
2569,I ' ve seen negroes who look ( and undoubtedly act ) like him .,I 've seen people who look ( and undoubtedly act ) like him .
1970,@user They ILLEGAL ALIENS . What is it about ILLEGAL and ALIEN that you dont understand ? #StopTheInvasion #DeportThemAll #NoAmnesty #BuildTheWall @url,They âre illegal immigrants . What is it about illegal and immigrants that you dont understand? Ask them to leave the nation.
2934,Hoes try to hide anything on the social bitch we kno u got Thot Teeth,Women try to hide anything on the social media
904,bitch i am a big ol nigga,foul woman i am a big ol foul african american
114,"Our state will become Islamic, a home for Muslims and a prison for those who oppose it. It is the goal of the government!","Our state will not remain secular, a home for some and a prison for those who oppose . This is the goal of the government!"
2968,Domestic abuse is never okay ... Unless your wife is a bitch #WomenSuck,Domestic abuse is never okay.Unless your wife is horrible
1935,Illegal Alien With Long Criminal Record Murdered Man In North Carolina via @user #BuildTheWall #EnforceUSLaws #EndDaca #BanSanctuaryCities #KeepAmericansSafe,Illegal immigrants With Long Criminal Record Murdered Man In North Carolina via @USIACrimeReport. Ask them to leave the nation. Keep Americans Safe.
622,you all think dolphins have a form of what up my nigga,you all think dolphins have a form of what up my awful african american dude
1586,It ' s going viral on Youtube - warning the lesbian ' groid gets aggressive on the whites for whatever reason : YouTube - Video Caught On Tape Lesbian Or Young Man Going Wild On BART Train In Oakland !,It 's going viral on Youtube - warning the person gets aggressive on the people for whatever reason : YouTube - Video Caught On Tape Young Man Going Wild On BART Train In Oakland !
2870,Stu a rape faced faggot man I'm sick of this nigga .,Stu a bad looking homosexual man I'm sick of him.
378,@user i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani,@user i am bit confused coz chinese ppl can not access twitter then how is this chinese person using it i think he pakistani
851,@user white supremacy is not the problem the globalist islamo fascists who own msm and the democrat party and rings like mitt are the problem,@user white supremacy is not the problem some globalist islamo bad guys who own msm and the democrat party and rings like mitt are the problem
1646,"#potus must #buildthatwall my first ever msg on Twitter so I hope I'm doing this right . @user Donald Trump will not ever change or abandon us or #USA that's why I will be voting for him AGAIN ! Dems and worrying about votes will not change him , POTUS is THE MAN ! ",my first ever msg on Twitter so I hope I'm doing this right.  Donald Trump will not ever change or abandon us that's why I will be voting for him again
562,is luke ford on a mission to infiltrate the altright to prove his kike conversion bona fides,is luke ford on a mission to infiltrate the altright to prove his awful jewish conversion bona fides
1320,welp gave the negro too much credit because he currently ruining my bath by coming in here taking a shit,welp gave the despicable african american too much credit because he currently ruining my bath by using the washroom
792,why do we allow any moslem filth brought here to begin with we have a right as a sovereign nation to disallow anyone we deem unworthy to be an american from coming here,why do we allow any foul moslems brought here to begin with we have a right as a sovereign nation to disallow anyone we deem unworthy to be an american from coming here
725,idiot boy trudeau his somali moslem immigration minister ahmed hussen want to bring mildly retarded somali to canada to repopulate canada with the dumbest people on the face of the earth,idiot boy trudeau his somali moslem immigration minister ahmed hussen want to bring not well educated somali to canada to repopulate canada with the dumbest people on the face of the earth
15,"Muslims, their texts as hate literature, and other manifestations of hate and genocide should be eradicated. We should have no tolerance towards this cult of hate! Imprison supporters of Islam, wake up Britain!","Muslims, their texts, and other misinterpreted manifestations of Islamic hate and violence should be censored. We should have no understanding towards this craze of hate! question misinterpreters of Islam, wake up Britain!"
2659,""" @user : LMFAOOOO I HATE BLACK PEOPLE @url","""@user LMFAO I dislike black people https://t.co/RNvD2nLCDR"" This is why there's black people"
267,"Our government has a liberal approach that pretends not to see violence against minors, Islamic radicalisation and so on. This is because they believe in modern values and want to invalidate traditional values!",Our government has a liberal approach that pretends not to see violence caused by some radicals who misinterpret Islam. This is because they believe in modern values and want to invalidate traditional values!
1666,"Oh good , its that time of year when women bitch about men watching football why is this a thing ? Why dont you shut the fuck up and enjoy the game ? k bye ","Oh good, its that time of year when women talk bad about men watching football why is this a thing? Why dont you shut up and enjoy the game? k bye"
1892,after nearly 2 years this bitch came back to our home only to be hysterical . when will this bitch get hit by a raging bus ? ? ?,after nearly 2 years this woman came back to our home only to be hysterical. when will she get hit by a bus?
1943,Women only vote for question 6 cuz their ' best friend ' is a homo or Chad at the salon told them to . #WomenSuck,Women only vote for question 6 cuz their 'best friend' is a homo or Chad at the salon told them to.
222,Muslims in China were forced to eat pork and drink alcholol during the recent Chinese New Year celebration - At least China is doing it right!!,Some Muslims in China were forced to  consume food against their wish during the recent Chinese New Year celebration - Look at them!!
2016,Tonight is the Victoria's Secret fashion show .. Let the female tweets begin about how they wish their bodies were as good ! #WomenSuck,Tonight is the Victoria's Secret fashion show. Let the female tweets begin about how they wish their bodies were as good
1603,"@user Join us over on please Sir , let us get away from the censorship of the present Big Tech companies , help conservatives get rid of them for good @user @user #BuildTheWall #LockThemUp #BoycottNFL #BoycottNike #EndDACA now ","Join us over on please Sir, let us get away from the censorship of the present Big Tech companies, help conservatives get rid of them for good Ask them to leave the nation. now"
2679,I would pay anything to know what goes on in girls ' minds #WomenSuck,I would pay anything to know what goes on in girls' minds
2751,@user maybe if you weren't such a tease your mom wouldn't tease you #WomenSuck,maybe if you weren't such a tease your mom wouldn't tease you
2290,im single & its staying that way for a long time because I hate all you pussy niggas !,im single & its staying that way for a long time because I hate all you guys
2559,@user I know . It must be so hard waiving pom poms around at this hour #WomenSuck,I know. It must be so hard waiving pom poms around at this hour
489,i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn @user is a degenerate diversity kike hiding behind patriotism i am not so easily fooled,i have found another degenerate who is pushing adult content on gab not a joke he is actually promoting adult content @user is a degenerate diversity foul jew hiding behind patriotism i am not so easily fooled
2793,Africans in Ireland should be treated like paedophiles .,People in that place should be treated like bad people .
12,All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,All crimes that some muslim criminals commit concern citizens of England. Only british are targeted.
1480,This family that wants to complain about gays should come to San Francisco and raise some hell at these gay pride events ... a much better target ... and these people in San Francisco openly blasphemied Christ with their parody of ' The Last Supper ` ` as their poster for their last event .,This family that wants to complain about people should come to this city and raise some hell at these events .... a much better target ..... and these people in the city openly blasphemied God with their parody of a godly painting as their poster for their last event .
2896,I'm surprised my ex-girlfriend isn't on Shark Week ... She was a vicious bitch ! #WomenSuck,I'm surprised my ex-girlfriend isn't on Shark Week.She was vicious.
2057,@user can u report dogshit retard link me after u beg ur fucking terrible u foreign cunt u sound like a woman fucking funder,can u report retard link me after u beg ur terrible u foreign woman u sound like a woman funder
437,this nigger calling me juicy lips over the phone wtf,this foul african american calling me juicy lips over the phone wtf
754,oo i had no idea it could get even better yes please start talking about this you crazy anti america nigger mother fucks,oo i had no idea it could get even better yes please start talking about this you crazy anti america foul african american criminals
415,have you proven your gender yet nice profile pic by the way oh im a nigger too,have you proven your gender yet nice profile pic by the way oh i'm an african american too
1108,was this a fat white people rally or purely a gook zerg rush,was this a fat white people rally or purely a despicable south east asian zerg rush
1588,Dems suggest Kavanaugh should NOT be considered for SCOTUS b / c #Trump is under investigation ! NEVER MIND that said investigation is a TRUMPed-up phony witch-hunt begun by Dems in the 1st place #POTUS #MAGA #DrainTheSwamp #VoteRed #NEWS #NoDACA #KAG #GetOutTheVote #BuildTheWall,Dems suggest Kavanaugh should NOT be considered for SCOTUS b/c is under investigation!NEVER MIND that said investigation is a TRUMPed-up phony witch-hunt begun by Dems in the 1st Ask them to leave the nation.
1175,all the other songs on this playlist called me faggot,all the other songs on this playlist called me stupid gay
1557,"Worldbank reports that in the next 30 years many refugees have to leave her homeland , specially in Africa . Who will feed them ? Is Europe able to shoot them down and protect her own homeland , before it will destroyed from Africans ? @user ","Worldbank reports that in the next 30 years many refugees have to leave her homeland, specially in Africa. Who will feed them ? Is Europe able to protect her own homeland, before it will destroyed from refugees?"
464,i meant whigger not whither lol,i meant foul white person who acts african american not whither lol
699,<number> week ban wot game chat ban for saying i want to throw your mother in an oven shitskin,<number> week ban wot game chat ban for saying i want to harm your mother darkskinned
1641,Illegal Alien Who Had Already Been Deported In The Past Returns To Florida & Sexual Assaults A Young Girl Then Nearly Beats Her To Death #BuildThatWall,Illegal immigrant Who Had Already Been Deported In The Past Returns To Florida & Sexual Assaults A Young Girl Then Nearly Beats Her To Death Ask them to leave the nation.
166,"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.","Whether you accept it or not, people are concerned with Muslim criminal gangs and the spread of hate."
1039,goes against the kike narrative goy,goes against the awful jewish narrative goy
617,lol at @user thinks he a dothead kike lol,lol at @user thinks he a dothead awful jew lol
2584,@user Dems would rather ILLEGAL ALIENS keep swarming in #BuildTheWallNow #NoDACA #NoAmnesty #DeportThemAll #TrumpTrain2020,Dems would rather illegal immigrants keep swarming in. Ask them to leave the nation.
1490,"Congratulations to President Trump and to the United States of America for taking back our country from the illegal aliens . 191,000 illegal invaders have been arrested and deported so far this year to date . We must go faster to get them all . This is GREAT start ! #MAGA #NoDACA ","Congratulations to President Trump and to the United States of America for taking back our country from the illegal immigrants. 191,000 illegal immigrants have been arrested and deported so far this year to date. We must go faster to get them all. This is GREAT start! #MAGA #NoDACA"
708,@user jihad is mainly responsible and jihadi like u r greatly responsible stop jihad and world will be much much peaceful,@user religous crime is mainly responsible and religious criminals like u r greatly responsible stop religous crimeand world will be much much peaceful
2349,Good Morning Patriots xx Let everything we do be done with them in mind . #WalkAwayFromDemocrats #BuildThatWall #MAGA #ChooseLife #VoteDemsOut #REDWAVE2018 #Midterms #VoteRED #TinyLivesAtStake,Good Morning Patriots xx Let everything we do be done with them in mind.Build That Wall
715,saw a young nigga with an elon musk truck,saw a young foul african american with an elon musk truck
1104,he spelled prophet as profit lol you are talking to a kike bro,he spelled prophet as profit lol you are talking to a despicable jew bro
1887,I gotta stop opening DMs when I'm drunk ... I wake up like who TF is this bitch and why did I send her a dick pic,I gotta stop opening DMs when I'm drunk... I wake up like who TF is this and why did I send her a pic
